,3prime,tAI,max_5_UTR_length,TCGA-C8-A12T,TCGA-C8-A12T.1
SLC25A40,2688.0,0.363984785,375.0,-0.301677,-0.325878564
SLC25A42,2156.0,0.366871382,156.0,-0.61536,-0.101974913
SLC25A6,450.0,0.487227384,137.0,1.109272,-0.497043212
SLC27A3,163.0,0.439664345,91.0,-0.792271,-0.413881408
SLC39A10,2661.0,0.346494338,214.0,-0.0113,0.203548584
SLC44A1,8291.0,0.4365497,264.0,-0.240329,-0.534240172
SLC9A3R1,709.0,0.400889529,235.0,1.499328,0.336344146
SMAP2,1225.0,0.404145004,415.0,-0.212157,-0.048104633
SMC1A,5954.0,0.490702048,340.0,0.555961,-0.101354266
SMG5,1363.0,0.383248033,540.0,-0.460083,-0.009681751
SMS,2660.0,0.417677888,252.0,0.650539,0.250106156
SMYD3,223.0,0.378821529,130.0,1.64267,0.321792509
SNRNP200,676.0,0.454045162,132.0,0.377376,-0.000344422
SNRPC,474.0,0.427936125,450.0,0.578923,-0.065377326
SNRPD1,4386.0,0.384326147,161.0,0.555407,0.064529517
SNRPN,279.0,0.390283395,1145.0,-0.25208,-0.022104247
SNX24,5071.0,0.338464018,185.0,-0.00626,0.053919977
SNX30,6144.0,0.426743352,148.0,-0.519854,0.126306844
SNX33,5086.0,0.383330712,96.0,-0.02148,0.164531177
SOD1,353.0,0.438546885,148.0,0.942035,0.343458813
SOD2,13436.0,0.435065133,1828.0,-0.465395,0.29587215
SP110,3922.0,0.401738483,258.0,-0.750239,-0.393172573
SPC24,1691.0,0.381793277,320.0,1.067039,0.034648182
SPC25,540.0,0.373816265,131.0,0.370336,0.218371276
SPCS1,3333.0,0.417439524,205.0,0.4349,-0.893535926
SPI1,383.0,0.406748349,223.0,0.520493,-0.008812185
SPRYD4,1406.0,0.430591965,75.0,-0.172171,-0.179338952
SQSTM1,1485.0,0.412192979,360.0,0.17264,0.355826544
SRC,2671.0,0.437602812,449.0,-0.177476,-0.240496813
SRGAP2,3018.0,0.377689891,542.0,-0.214085,-0.08048856
SRI,5365.0,0.424260151,79.0,-0.154651,0.019824916
SRP19,2645.0,0.430943803,189.0,0.101976,0.090015962
SRPRB,1784.0,0.427990824,285.0,0.059388,-0.635275744
SRR,1392.0,0.393840903,354.0,0.173067,0.558964439
SRXN1,2099.0,0.37663928,185.0,0.65094,0.084353938
SS18L2,777.0,0.45997865,208.0,0.018929,-0.203795937
SSH1,5298.0,0.373517564,146.0,0.177963,0.157941595
SSH3,2595.0,0.376349937,178.0,0.397918,0.255417328
SSR2,592.0,0.425839932,80.0,-0.405515,-0.039569051
SSR3,3698.0,0.388415977,156.0,0.088262,-0.969794508
SSR4,87.0,0.444947593,150.0,-0.016732,-0.230233395
SSRP1,422.0,0.394601844,267.0,-0.050019,-0.099946185
SSU72,400.0,0.445120823,325.0,0.174575,0.129772972
ST13,3666.0,0.439823793,468.0,0.931053,0.237822504
ST14,553.0,0.454138745,193.0,1.215792,0.229187735
STAP1,541.0,0.398288494,113.0,0.013551,-0.133792777
STARD10,1682.0,0.427301627,944.0,2.170274,1.069153171
STAT1,3294.0,0.408136156,388.0,0.205973,0.426802419
STAT2,1791.0,0.409862748,203.0,0.136098,0.402961125
STAT6,1168.0,0.380869476,499.0,-0.94728,0.048691735
STMN1,1138.0,0.394107416,364.0,1.471611,0.139148308
STOM,2222.0,0.387137797,117.0,1.028474,-0.552318057
STOML2,531.0,0.456962681,143.0,0.168903,-0.583081644
STX3,5058.0,0.403902965,547.0,-0.096838,-0.616415818
STX7,14891.0,0.417568039,327.0,-0.098323,-0.081914134
SUCLG1,223.0,0.43877655,193.0,0.429903,-0.055871659
SUFU,3380.0,0.361614756,191.0,0.812788,0.421913388
SUMF1,999.0,0.37076871,37.0,-0.254745,-0.0341697
SUPT4H1,1112.0,0.438747077,103.0,0.071655,0.219700683
SURF2,1720.0,0.440503417,48.0,0.328376,-0.290613005
SURF4,2281.0,0.385472445,476.0,0.114025,-0.896989464
SURF6,4908.0,0.42467207,78.0,0.341911,-0.585062416
SYTL1,80.0,0.364244725,197.0,0.399311,0.125892678
TACC3,165.0,0.385699108,155.0,1.261173,0.255841427
TAF12,689.0,0.435926756,522.0,0.517698,-0.205559645
TAP2,5256.0,0.374969764,175.0,-0.05666,-0.618127703
TBC1D20,3109.0,0.435441414,148.0,-0.172667,-0.233623357
TBC1D9B,1396.0,0.395340616,37.0,0.419427,0.19077928
TBCC,556.0,0.434161456,73.0,0.250229,0.135758946
TCEAL3,260.0,0.368171822,262.0,0.367819,-0.664932517
TCEAL4,3020.0,0.432120515,489.0,0.74063,0.072700949
TCOF1,1640.0,0.41523122,108.0,0.27225,-0.489778017
TDP1,1721.0,0.418036689,317.0,0.284511,-0.049411342
TDRD7,242.0,0.375852104,234.0,-0.723893,-0.117883395
TDRKH,973.0,0.419795099,182.0,0.4402,0.302363861
TEP1,2777.0,0.379550228,40.0,-0.397188,-0.056631281
TFE3,1431.0,0.379068139,541.0,0.020358,-0.524837749
TFEB,621.0,0.429366592,302.0,-0.179194,-0.010423412
THADA,112.0,0.415199561,352.0,0.15356,0.094561184
THUMPD1,2715.0,0.455087735,225.0,-0.272459,-0.13633318
THYN1,205.0,0.377954149,484.0,0.534182,0.133585363
TIMM50,3932.0,0.424829064,722.0,0.344019,-0.214446097
TIMM8B,2046.0,0.447942532,30.0,-0.078263,-0.597505091
TK2,3965.0,0.360054507,593.0,-0.16041,0.154281525
TLE1,571.0,0.374791795,1295.0,-0.507919,-0.444961099
TM9SF2,2020.0,0.372522209,233.0,-0.090777,-1.026464726
TMED3,1710.0,0.439016102,188.0,-0.074443,-0.129867039
TMED9,708.0,0.44685712,67.0,0.147097,-0.567082788
TMEM126A,52.0,0.406087664,295.0,0.547931,-0.246006032
TMEM199,2431.0,0.370998168,90.0,2.445438,0.029833079
TMEM63A,1407.0,0.385482014,622.0,-0.41185,-1.498460515
TMOD1,2050.0,0.392927141,213.0,-0.865867,0.105177221
TMSB10,278.0,0.470652003,95.0,0.815381,0.111473118
TNFAIP1,2409.0,0.451408648,449.0,2.269381,0.769779469
TNFAIP2,2079.0,0.44214387,131.0,-1.205802,-0.42603591
TNFAIP3,1995.0,0.416242917,370.0,-0.677816,-0.021566008
TNFAIP8L2,497.0,0.440670719,126.0,0.117722,-0.041088508
TNIP1,770.0,0.448321216,241.0,0.219929,0.076825288
TNK2,822.0,0.420245651,543.0,0.049067,-0.379962042
TNPO2,2070.0,0.408799881,358.0,-0.560359,-0.168884299
TNRC18,1316.0,0.449521205,349.0,0.719547,-1.284330534
TOMM5,518.0,0.441712708,107.0,0.261272,-1.268722214
TOP2A,1003.0,0.364102812,159.0,0.620731,-0.375842484
TOR1A,3160.0,0.446121485,77.0,-0.489915,0.143420533
TPD52L2,1600.0,0.385071878,138.0,1.01518,0.28308074
TPI1,620.0,0.479135356,527.0,1.098883,-0.030197103
TPM1,757.0,0.403626605,257.0,1.220012,0.106965542
TRAF1,7433.0,0.438949906,572.0,-0.901287,0.266367699
TRAF3,5716.0,0.386659664,353.0,-0.463235,-0.190638011
TRAF6,6100.0,0.426668941,381.0,-0.331863,0.237840106
TRAPPC3,634.0,0.441060625,519.0,0.000282,0.078559829
TRAPPC5,42.0,0.453352607,241.0,0.138148,-0.105622247
TRAPPC6B,2539.0,0.437369008,335.0,-0.36607,0.145890036
TRAPPC9,3079.0,0.431357199,134.0,0.382128,0.166093981
TRIM11,3522.0,0.453298916,255.0,-0.272028,0.505581024
TRIM14,3117.0,0.369225689,165.0,-1.565758,-0.130573085
TRIM22,1215.0,0.424423711,379.0,-0.772768,0.23412143
TRIM26,1431.0,0.384319522,565.0,0.509243,0.15678862
TRIM27,2956.0,0.441704825,359.0,-0.077252,0.171225329
TRIM41,1657.0,0.454716896,737.0,-0.375258,-0.15149276
TRIM5,2312.0,0.426412011,303.0,-0.264775,0.274353711
TRIP12,3739.0,0.40441217,297.0,-0.71557,0.146570408
TRIP13,2852.0,0.433721983,145.0,1.267777,0.156461902
TRMT5,3660.0,0.405137655,572.0,-0.142797,-0.2666169
TRUB2,4655.0,0.434714666,759.0,-0.117492,-0.338716447
TSFM,1390.0,0.429356434,57.0,-0.167122,-0.429179808
TSPAN14,15147.0,0.398868986,305.0,0.470162,-1.029026931
TSPYL1,7303.0,0.373212405,287.0,0.313871,-0.017807134
TSR2,1366.0,0.464925113,443.0,0.059839,-0.03286558
TTC39C,3394.0,0.378954091,452.0,0.297912,-0.04718318
TTC7A,2213.0,0.393400181,1272.0,-0.077553,-0.519690981
TTPAL,5319.0,0.425556123,145.0,-1.187561,-0.184872467
TTYH3,3063.0,0.383645273,187.0,0.541784,-1.900416973
TUBA1C,110.0,0.451729991,576.0,0.874457,0.12416237
TUBA4A,644.0,0.402818439,556.0,-2.048122,-0.187954982
TUBB,1030.0,0.390058461,509.0,1.222961,0.420630789
TUBB6,2302.0,0.468445054,1139.0,0.880682,0.33562633
TUBGCP4,1934.0,0.368175973,296.0,-0.621805,0.053170338
TUSC1,1294.0,0.429789613,537.0,0.219723,-0.858792358
TXNL4A,3129.0,0.472736328,466.0,0.599727,0.36790266
TYMP,18.0,0.429537249,376.0,0.668851,0.316386362
TYMS,581.0,0.364557025,159.0,2.030417,0.284123553
UBAP2L,353.0,0.367068802,167.0,-0.204682,0.005114852
UBE2B,4002.0,0.405496028,420.0,0.101258,0.64940473
UBE2E1,1034.0,0.417917446,229.0,0.027414,-0.181565965
UBE2E2,1962.0,0.352966355,180.0,1.075526,-0.147449192
UBE2L3,2365.0,0.455573936,198.0,0.581926,0.241730109
UBE2L6,703.0,0.431638779,653.0,-0.271719,0.292347201
UBE4B,1283.0,0.418913915,688.0,0.427442,0.031618083
UBIAD1,2303.0,0.446280173,334.0,0.214018,-0.200443819
UBR4,797.0,0.387393976,4.0,-0.258915,-0.188246938
UBTF,2209.0,0.400105612,296.0,0.181083,-0.22176399
UBXN1,220.0,0.422601268,194.0,0.33875,0.114876837
UCK2,4043.0,0.447469338,640.0,0.041622,0.332675287
UGGT1,5935.0,0.374564832,178.0,0.156024,0.187634462
UHRF1BP1,5130.0,0.373569339,234.0,-0.109991,-0.13057619
UNC45A,377.0,0.475530537,1022.0,0.604865,0.745036286
UNG,1024.0,0.368897526,209.0,0.454285,-0.305916954
UNK,1388.0,0.447315534,42.0,-0.24277,-0.469890783
UQCR11,4379.0,0.470309826,75.0,0.278905,0.219613009
UQCRC1,129.0,0.462829321,45.0,0.859196,-0.216763907
UQCRH,193.0,0.365128489,320.0,0.402718,-0.646290715
UROD,171.0,0.391539164,133.0,0.167211,0.275564708
UROS,3849.0,0.422413435,266.0,0.805915,-0.004378054
USP18,580.0,0.434940763,338.0,-0.375182,-0.642684466
USP39,571.0,0.39295741,223.0,-0.061636,-0.05642213
UTP6,2466.0,0.429918331,83.0,-0.406264,0.047684138
VAC14,489.0,0.396517204,827.0,0.626989,0.168814394
VAMP8,451.0,0.398153421,156.0,-0.222989,-0.984184952
VASP,824.0,0.388921088,342.0,0.382374,0.023427273
VAT1,1456.0,0.406330787,120.0,0.105389,-0.046304612
VDAC3,475.0,0.440388181,210.0,0.974714,-0.464960041
VDR,3209.0,0.450036866,401.0,0.084688,0.208030886
VGLL4,2489.0,0.432812067,506.0,0.269515,0.141072166
VIM,431.0,0.411136971,462.0,0.86164,-0.019526471
VLDLR,6202.0,0.388727284,416.0,-0.702225,0.814999001
VPS28,291.0,0.476756313,109.0,0.214914,0.226581326
VPS33B,559.0,0.447669729,583.0,0.412228,0.108975227
VPS39,2053.0,0.440628838,173.0,-0.555458,-0.002734481
VPS52,2870.0,0.393546356,887.0,0.371049,-0.028840173
WASF2,4090.0,0.365213822,245.0,0.478952,-0.08547672
WBP2,1040.0,0.392225719,515.0,-0.271155,-0.07733473
WDFY2,7044.0,0.36603015,340.0,-0.911137,-0.073113489
WDR1,1039.0,0.393247178,368.0,0.699613,0.221491667
WDR36,3619.0,0.40459335,117.0,-0.198228,0.11940789
WDR37,8068.0,0.365587877,173.0,-0.480022,0.009175332
WDR4,293.0,0.380589271,581.0,0.188612,-0.093119704
WDR47,1216.0,0.402106333,376.0,-0.090408,0.079435698
WDR48,1924.0,0.419028298,472.0,-0.054152,0.205940989
WDR5,1979.0,0.401607191,171.0,0.11695,-0.008604383
WDR54,97.0,0.394793766,128.0,0.774775,-0.168555123
WDR61,197.0,0.411764619,310.0,0.471391,0.298826735
WDR77,4184.0,0.412330102,139.0,0.130293,0.25788145
WDR91,4946.0,0.380864599,823.0,-0.318788,0.034636655
WDR92,2520.0,0.427217839,117.0,0.347471,0.105089491
YTHDF1,1279.0,0.384821843,294.0,0.876561,0.126431947
YTHDF3,3082.0,0.406652071,509.0,0.01514,0.003974455
YY1,5192.0,0.440120149,480.0,0.104269,-0.607850246
ZBED1,2221.0,0.457533868,282.0,0.63064,0.199767445
ZBTB8OS,1087.0,0.406816332,276.0,0.401739,-0.020567144
ZC3H12A,768.0,0.421626239,1056.0,-1.098371,0.070004601
ZC3H4,2169.0,0.436042942,38.0,0.045307,-0.152505162
ZCCHC10,81.0,0.361883573,67.0,-0.179691,-0.116805566
ZCCHC2,2006.0,0.404185753,0.0,-0.009763,0.284979675
ZFP36L1,2846.0,0.395541595,976.0,-0.5418,-0.325290091
ZMAT2,1942.0,0.460376067,101.0,-0.568225,-0.421991493
ZMIZ2,4165.0,0.419562196,128.0,-0.392284,-0.403229209
ZMYM3,1292.0,0.378831729,749.0,-0.20069,0.172235389
ZNF207,13817.0,0.386696564,148.0,-0.29834,0.014594031
ZNF414,113.0,0.422835658,118.0,0.491663,-0.202539071
ZNF511,243.0,0.452392726,55.0,0.791479,-0.054493758
ZNF516,4816.0,0.393186692,318.0,-0.526788,-0.456772346
ZNF622,1298.0,0.463753859,120.0,0.269024,-0.043659073
ZNHIT2,49.0,0.440612513,85.0,1.208213,0.35469866
ZNHIT3,419.0,0.425204303,73.0,-0.252504,-0.447712781
ZWINT,4585.0,0.411772707,37.0,1.654723,0.230652952
