,3prime,tAI,max_5_UTR_length,TCGA-AN-A0AM,TCGA-AN-A0AM.1
SFXN4,500.0,0.402513841,45.0,0.184604,-0.626123846
SH3BP1,433.0,0.395530944,313.0,0.802862,0.195085919
SH3PXD2B,4870.0,0.420952884,171.0,-0.307124,0.162279507
SHMT1,4335.0,0.394510245,509.0,0.663534,-0.075231578
SIGLEC1,1590.0,0.42099348,0.0,0.670723,0.078226256
SIPA1,2933.0,0.437718847,296.0,-0.333684,0.18859976
SIRPA,3027.0,0.429235057,360.0,-0.151391,-0.146495199
SKP1,8791.0,0.433886974,179.0,0.036339,0.293502446
SLBP,3046.0,0.391438372,553.0,-0.176096,0.202063174
SLC25A10,1929.0,0.386184273,191.0,2.341672,0.957827688
SLC25A19,477.0,0.386093473,224.0,1.411893,0.390027099
SLC25A20,787.0,0.382641976,199.0,0.949403,0.575379804
SLC25A3,504.0,0.383836987,354.0,-0.058308,-0.122488451
SLC25A6,450.0,0.487227384,137.0,0.929026,0.32338927
SLC27A3,163.0,0.439664345,91.0,-0.622003,-0.204623933
SLC39A10,2661.0,0.346494338,214.0,-0.07555,0.037888958
SLC44A1,8291.0,0.4365497,264.0,-0.159796,-0.421774932
SLC9A3R1,709.0,0.400889529,235.0,2.699203,0.88535616
SMAP2,1225.0,0.404145004,415.0,0.297291,0.104553023
SMC1A,5954.0,0.490702048,340.0,0.528668,-0.068230969
SMG5,1363.0,0.383248033,540.0,0.677057,0.065196767
SMS,2660.0,0.417677888,252.0,2.210652,0.918051724
SMYD3,223.0,0.378821529,130.0,-0.862008,-0.160856739
SNRNP200,676.0,0.454045162,132.0,0.18558,0.098483575
SNRPC,474.0,0.427936125,450.0,0.533763,-0.019217076
SNRPD1,4386.0,0.384326147,161.0,0.255259,-0.233786933
SNRPN,279.0,0.390283395,1145.0,-1.328771,0.022991945
SNX24,5071.0,0.338464018,185.0,0.339774,0.367196021
SNX30,6144.0,0.426743352,148.0,-0.280988,0.071867441
SNX33,5086.0,0.383330712,96.0,0.11797,0.10066104
SOD1,353.0,0.438546885,148.0,0.7009,-0.290387765
SOD2,13436.0,0.435065133,1828.0,0.273316,0.355697746
SP110,3922.0,0.401738483,258.0,0.451032,-0.178881211
SPC24,1691.0,0.381793277,320.0,0.359346,-0.400663497
SPC25,540.0,0.373816265,131.0,0.132152,-0.311242929
SPCS1,3333.0,0.417439524,205.0,0.351665,0.154706394
SPI1,383.0,0.406748349,223.0,0.396831,0.264230085
SPRYD4,1406.0,0.430591965,75.0,-0.379846,-0.522234376
SQSTM1,1485.0,0.412192979,360.0,1.216994,0.23552638
SRC,2671.0,0.437602812,449.0,1.193618,0.528989823
SRGAP2,3018.0,0.377689891,542.0,-0.695109,-0.044795149
SRI,5365.0,0.424260151,79.0,-0.410079,-0.243073534
SRP19,2645.0,0.430943803,189.0,1.232069,0.513681237
SRPRB,1784.0,0.427990824,285.0,1.776331,0.35103104
SRR,1392.0,0.393840903,354.0,-0.132698,-0.247309245
SRXN1,2099.0,0.37663928,185.0,1.222222,-0.05162897
SS18L2,777.0,0.45997865,208.0,0.030212,0.146216814
SSH1,5298.0,0.373517564,146.0,-0.168662,-0.003427182
SSH3,2595.0,0.376349937,178.0,-0.390462,-0.36079607
SSR2,592.0,0.425839932,80.0,1.122671,0.207636306
SSR3,3698.0,0.388415977,156.0,0.915631,-0.175732864
SSR4,87.0,0.444947593,150.0,0.515217,0.060504525
SSRP1,422.0,0.394601844,267.0,0.472181,0.166628492
SSU72,400.0,0.445120823,325.0,0.730961,0.285389871
ST13,3666.0,0.439823793,468.0,0.374758,0.341173941
ST14,553.0,0.454138745,193.0,0.798985,-0.247514817
ST3GAL4,594.0,0.39537481,557.0,-0.723503,0.392166349
STAP1,541.0,0.398288494,113.0,-0.410588,0.930525854
STARD10,1682.0,0.427301627,944.0,0.058724,-0.561494582
STAT1,3294.0,0.408136156,388.0,1.917455,0.45143853
STAT2,1791.0,0.409862748,203.0,0.855546,0.288044772
STAT6,1168.0,0.380869476,499.0,-1.046408,-0.138558813
STMN1,1138.0,0.394107416,364.0,0.344471,-0.460167664
STOM,2222.0,0.387137797,117.0,-0.341761,-0.06160618
STOML2,531.0,0.456962681,143.0,0.704917,-0.292330352
STX11,4481.0,0.457080677,192.0,1.060185,0.462792754
STX3,5058.0,0.403902965,547.0,0.311525,0.141329714
STX7,14891.0,0.417568039,327.0,0.107014,0.163689556
STX8,107.0,0.378438911,150.0,-0.59796,0.022302699
SUCLG1,223.0,0.43877655,193.0,0.37816,0.05549053
SUFU,3380.0,0.361614756,191.0,-0.716691,-0.164363521
SUMF1,999.0,0.37076871,37.0,-0.762909,-0.147038828
SUPT4H1,1112.0,0.438747077,103.0,1.495416,0.419816415
SURF2,1720.0,0.440503417,48.0,0.41423,-0.591614825
SURF4,2281.0,0.385472445,476.0,0.579017,-0.309330171
SURF6,4908.0,0.42467207,78.0,0.518408,0.27375412
SVIP,4195.0,0.357937352,217.0,-0.314501,-0.17129812
SYTL1,80.0,0.364244725,197.0,0.433329,0.186240137
TACC3,165.0,0.385699108,155.0,0.493166,0.24215394
TADA2B,3064.0,0.464060586,151.0,-0.586414,-0.043458568
TAF12,689.0,0.435926756,522.0,0.281,0.192621393
TAP2,5256.0,0.374969764,175.0,1.801498,0.49174673
TBC1D20,3109.0,0.435441414,148.0,-0.204726,0.093058754
TBC1D9B,1396.0,0.395340616,37.0,0.093771,0.234369035
TBCC,556.0,0.434161456,73.0,-0.365201,-0.316231041
TCEAL3,260.0,0.368171822,262.0,0.271013,-0.189866505
TCEAL4,3020.0,0.432120515,489.0,-0.305099,-0.396869743
TCOF1,1640.0,0.41523122,108.0,1.072231,0.474256945
TDP1,1721.0,0.418036689,317.0,-0.227494,-0.082948332
TDRD7,242.0,0.375852104,234.0,-0.688164,-0.181196155
TDRKH,973.0,0.419795099,182.0,0.30189,-0.218050114
TEP1,2777.0,0.379550228,40.0,-0.143602,0.063812264
TFE3,1431.0,0.379068139,541.0,0.154192,0.242079249
TFEB,621.0,0.429366592,302.0,0.0,0.107663648
THADA,112.0,0.415199561,352.0,0.074149,-0.123162563
THBD,2144.0,0.448063145,160.0,-0.643872,0.447357043
THUMPD1,2715.0,0.455087735,225.0,0.201961,-0.065803765
THYN1,205.0,0.377954149,484.0,-0.343909,0.153977168
TIMM50,3932.0,0.424829064,722.0,0.93744,0.018589903
TIMM8B,2046.0,0.447942532,30.0,0.39248,0.106973334
TK2,3965.0,0.360054507,593.0,0.573082,0.388522859
TLE1,571.0,0.374791795,1295.0,0.294435,0.054644041
TM9SF2,2020.0,0.372522209,233.0,0.842565,-0.083612219
TMED3,1710.0,0.439016102,188.0,0.469664,0.245534678
TMED9,708.0,0.44685712,67.0,1.374656,0.315877229
TMEM126A,52.0,0.406087664,295.0,0.5461,0.379166549
TMEM199,2431.0,0.370998168,90.0,0.870155,0.080901132
TMEM63A,1407.0,0.385482014,622.0,0.541958,0.069896089
TMOD1,2050.0,0.392927141,213.0,-0.664683,-0.531498849
TMSB10,278.0,0.470652003,95.0,0.400119,0.402071613
TNFAIP2,2079.0,0.44214387,131.0,0.178493,-0.253701294
TNFAIP3,1995.0,0.416242917,370.0,-0.654832,0.029456693
TNFAIP8L2,497.0,0.440670719,126.0,0.261276,0.0670047
TNIP1,770.0,0.448321216,241.0,0.694978,0.282174197
TNK2,822.0,0.420245651,543.0,0.911242,0.209712496
TNPO2,2070.0,0.408799881,358.0,0.614091,0.041487853
TNRC18,1316.0,0.449521205,349.0,-0.360777,-0.335019621
TOMM5,518.0,0.441712708,107.0,0.730191,0.174943457
TOMM6,1957.0,0.431553434,255.0,0.16222,0.651628786
TOP2A,1003.0,0.364102812,159.0,0.008804,-0.266714298
TOR1A,3160.0,0.446121485,77.0,0.011287,0.058271091
TPD52L2,1600.0,0.385071878,138.0,0.322947,0.084830034
TPI1,620.0,0.479135356,527.0,0.927329,0.040519748
TPM1,757.0,0.403626605,257.0,-0.419283,0.012567868
TRAF1,7433.0,0.438949906,572.0,0.120055,0.311285838
TRAF3,5716.0,0.386659664,353.0,-0.100723,-0.090237395
TRAF6,6100.0,0.426668941,381.0,-0.84294,0.165171163
TRAPPC3,634.0,0.441060625,519.0,0.527556,0.156602038
TRAPPC5,42.0,0.453352607,241.0,0.499997,0.089233604
TRAPPC6B,2539.0,0.437369008,335.0,0.16369,0.219926433
TRAPPC9,3079.0,0.431357199,134.0,0.029872,0.132703478
TRIM11,3522.0,0.453298916,255.0,1.092973,0.176629104
TRIM13,5308.0,0.419190719,763.0,-0.222395,-0.351452517
TRIM14,3117.0,0.369225689,165.0,-0.812245,-0.253331566
TRIM22,1215.0,0.424423711,379.0,0.136922,0.389160014
TRIM26,1431.0,0.384319522,565.0,0.579989,0.315831422
TRIM27,2956.0,0.441704825,359.0,0.35886,0.540301584
TRIM41,1657.0,0.454716896,737.0,0.266724,0.085010273
TRIM5,2312.0,0.426412011,303.0,0.398246,0.27175177
TRIP12,3739.0,0.40441217,297.0,-0.010152,0.145195277
TRIP13,2852.0,0.433721983,145.0,2.46495,-0.276439016
TRMT5,3660.0,0.405137655,572.0,-0.536746,-0.276518435
TRUB2,4655.0,0.434714666,759.0,-0.534602,0.054896676
TSFM,1390.0,0.429356434,57.0,-0.221513,-0.436695888
TSPAN14,15147.0,0.398868986,305.0,0.793107,0.357493355
TSPYL1,7303.0,0.373212405,287.0,-0.721095,0.303371846
TSR2,1366.0,0.464925113,443.0,0.122946,-0.110840409
TTC39C,3394.0,0.378954091,452.0,-0.994953,-0.12746565
TTC7A,2213.0,0.393400181,1272.0,0.638126,0.283537146
TTPAL,5319.0,0.425556123,145.0,0.113546,0.006468811
TUBA1C,110.0,0.451729991,576.0,0.974433,-0.297598413
TUBA4A,644.0,0.402818439,556.0,2.519384,0.618393869
TUBB,1030.0,0.390058461,509.0,0.360938,-0.217069274
TUBB6,2302.0,0.468445054,1139.0,1.169611,0.245576646
TUBGCP4,1934.0,0.368175973,296.0,-1.123567,-0.093669866
TUSC1,1294.0,0.429789613,537.0,-0.399641,-0.259214631
TXNL4A,3129.0,0.472736328,466.0,-0.00112,-0.114690914
TYMP,18.0,0.429537249,376.0,2.206334,0.362095737
TYMS,581.0,0.364557025,159.0,0.040912,-0.078523918
TYROBP,168.0,0.417048036,81.0,0.517303,0.346030222
UBAP2L,353.0,0.367068802,167.0,-0.042097,-0.256839481
UBE2B,4002.0,0.405496028,420.0,0.583837,0.260647666
UBE2E1,1034.0,0.417917446,229.0,0.196065,0.054893405
UBE2E2,1962.0,0.352966355,180.0,0.307835,-0.481322358
UBE2L3,2365.0,0.455573936,198.0,0.89516,-0.024565533
UBE2L6,703.0,0.431638779,653.0,1.82424,-0.054217287
UBE4B,1283.0,0.418913915,688.0,0.077675,-0.141955546
UBIAD1,2303.0,0.446280173,334.0,0.755548,0.756154182
UBR4,797.0,0.387393976,4.0,0.088842,0.148799504
UBTF,2209.0,0.400105612,296.0,-0.36047,-0.01191547
UBXN1,220.0,0.422601268,194.0,-0.144539,0.023723079
UCK2,4043.0,0.447469338,640.0,0.652892,0.151536049
UGGT1,5935.0,0.374564832,178.0,0.70988,-0.147377521
UHRF1BP1,5130.0,0.373569339,234.0,0.078013,0.020230191
UNC45A,377.0,0.475530537,1022.0,1.38505,0.698301474
UNG,1024.0,0.368897526,209.0,0.485747,-0.583553509
UNK,1388.0,0.447315534,42.0,0.443132,0.082485934
UQCR11,4379.0,0.470309826,75.0,0.199847,-0.312361375
UQCRC1,129.0,0.462829321,45.0,0.659215,0.034880926
UQCRH,193.0,0.365128489,320.0,0.818031,0.007496387
UROD,171.0,0.391539164,133.0,0.294921,-0.085273995
UROS,3849.0,0.422413435,266.0,0.319548,0.047935386
USP18,580.0,0.434940763,338.0,1.181426,-0.176667475
USP39,571.0,0.39295741,223.0,0.197708,-0.095586318
UTP6,2466.0,0.429918331,83.0,-0.177867,0.11263214
VAC14,489.0,0.396517204,827.0,0.295442,0.107794946
VAMP8,451.0,0.398153421,156.0,0.354228,0.522631495
VASP,824.0,0.388921088,342.0,0.218299,-0.011236963
VAT1,1456.0,0.406330787,120.0,-0.518691,-0.081457982
VDAC3,475.0,0.440388181,210.0,-0.057487,-0.003775562
VDR,3209.0,0.450036866,401.0,0.331747,0.358556122
VGLL4,2489.0,0.432812067,506.0,0.01031,0.061578476
VIM,431.0,0.411136971,462.0,-0.809895,0.236520215
VLDLR,6202.0,0.388727284,416.0,-0.113157,-0.300544108
VPS28,291.0,0.476756313,109.0,-0.270596,-0.128051013
VPS33B,559.0,0.447669729,583.0,1.199002,0.383527501
VPS39,2053.0,0.440628838,173.0,-0.643788,-0.221932164
VPS52,2870.0,0.393546356,887.0,-0.511356,-0.237470721
WASF2,4090.0,0.365213822,245.0,-0.139572,0.060036941
WBP2,1040.0,0.392225719,515.0,0.907752,0.318451607
WDFY2,7044.0,0.36603015,340.0,-0.356244,-0.056452858
WDR1,1039.0,0.393247178,368.0,-0.026585,0.189173488
WDR36,3619.0,0.40459335,117.0,0.003873,0.220982682
WDR37,8068.0,0.365587877,173.0,0.193115,-0.073819
WDR4,293.0,0.380589271,581.0,0.410815,-0.170482625
WDR47,1216.0,0.402106333,376.0,-0.693581,0.075374607
WDR48,1924.0,0.419028298,472.0,-0.361676,0.004232197
WDR5,1979.0,0.401607191,171.0,0.347845,-0.033920912
WDR54,97.0,0.394793766,128.0,-0.143716,-0.096149424
WDR61,197.0,0.411764619,310.0,0.791427,0.139640821
WDR77,4184.0,0.412330102,139.0,0.186732,-0.134804613
WDR91,4946.0,0.380864599,823.0,-0.660023,0.195453665
WDR92,2520.0,0.427217839,117.0,-0.174547,0.001417399
YTHDF1,1279.0,0.384821843,294.0,0.697433,0.018565784
YTHDF3,3082.0,0.406652071,509.0,-0.436809,-0.053786776
YY1,5192.0,0.440120149,480.0,-0.470937,-0.027821691
ZBED1,2221.0,0.457533868,282.0,0.137509,-0.101610972
ZBTB8OS,1087.0,0.406816332,276.0,0.887982,0.551204397
ZC3H12A,768.0,0.421626239,1056.0,-0.329797,0.082689034
ZC3H4,2169.0,0.436042942,38.0,0.007223,-0.012641097
ZCCHC10,81.0,0.361883573,67.0,0.043246,-0.165820561
ZCCHC2,2006.0,0.404185753,0.0,-0.509082,-0.157558406
ZFP36L1,2846.0,0.395541595,976.0,-0.346695,0.45962672
ZMAT2,1942.0,0.460376067,101.0,0.056066,-0.067018027
ZMIZ2,4165.0,0.419562196,128.0,-0.043188,-0.237218204
ZMYM3,1292.0,0.378831729,749.0,-0.295844,0.176130747
ZNF207,13817.0,0.386696564,148.0,-0.289708,-0.322252459
ZNF414,113.0,0.422835658,118.0,-0.07537,0.09751866
ZNF511,243.0,0.452392726,55.0,0.355555,0.195277076
ZNF516,4816.0,0.393186692,318.0,-0.110418,0.486803599
ZNF622,1298.0,0.463753859,120.0,0.480845,0.492976825
ZNHIT2,49.0,0.440612513,85.0,0.47817,-0.205769709
ZNHIT3,419.0,0.425204303,73.0,-0.497551,-0.036186216
ZWINT,4585.0,0.411772707,37.0,-0.11791,-0.27642016
