,3prime,tAI,max_5_UTR_length,TCGA-A2-A0SW,TCGA-A2-A0SW.1
SMG5,1363.0,0.383248033,540.0,0.377984,0.151414062
SMS,2660.0,0.417677888,252.0,-0.218964,-0.524409002
SMYD3,223.0,0.378821529,130.0,-1.115543,-0.537990447
SNRNP200,676.0,0.454045162,132.0,-0.078415,-0.283440298
SNRPC,474.0,0.427936125,450.0,0.410411,-0.151900983
SNRPD1,4386.0,0.384326147,161.0,0.149172,-0.00323477
SNRPN,279.0,0.390283395,1145.0,-1.279503,0.088867677
SNX24,5071.0,0.338464018,185.0,0.103228,0.840251026
SNX30,6144.0,0.426743352,148.0,-0.020354,0.487041388
SNX33,5086.0,0.383330712,96.0,-0.616112,0.129944884
SOD1,353.0,0.438546885,148.0,0.610295,0.415684129
SOD2,13436.0,0.435065133,1828.0,0.289058,0.804480122
SP110,3922.0,0.401738483,258.0,0.566296,-0.078320129
SPC24,1691.0,0.381793277,320.0,1.880598,0.568822141
SPC25,540.0,0.373816265,131.0,1.090252,0.46162673
SPCS1,3333.0,0.417439524,205.0,-0.072604,0.575552111
SPI1,383.0,0.406748349,223.0,0.95702,0.029231699
SPRYD4,1406.0,0.430591965,75.0,0.270924,-0.143925754
SQSTM1,1485.0,0.412192979,360.0,0.391487,-0.447767297
SRC,2671.0,0.437602812,449.0,0.416059,-0.001355726
SRGAP2,3018.0,0.377689891,542.0,0.568547,0.1192312
SRI,5365.0,0.424260151,79.0,0.303416,0.200415673
SRP19,2645.0,0.430943803,189.0,0.346046,0.681064635
SRPRB,1784.0,0.427990824,285.0,0.717689,-0.51295242
SRR,1392.0,0.393840903,354.0,-0.972433,-0.092851131
SRXN1,2099.0,0.37663928,185.0,0.444953,0.572879605
SS18L2,777.0,0.45997865,208.0,-0.133783,-0.073273438
SSH3,2595.0,0.376349937,178.0,-1.791946,-0.487258299
SSR2,592.0,0.425839932,80.0,0.410152,0.506507777
SSR3,3698.0,0.388415977,156.0,0.165432,-0.701076509
SSR4,87.0,0.444947593,150.0,1.902661,0.135923874
SSRP1,422.0,0.394601844,267.0,0.008159,-0.08977311
SSU72,400.0,0.445120823,325.0,0.709827,0.041850925
ST13,3666.0,0.439823793,468.0,-0.094674,-0.076922847
ST14,553.0,0.454138745,193.0,0.821857,0.051257828
STAP1,541.0,0.398288494,113.0,1.650188,0.147443078
STARD10,1682.0,0.427301627,944.0,2.285472,0.543526375
STAT1,3294.0,0.408136156,388.0,1.273002,0.171037788
STAT2,1791.0,0.409862748,203.0,0.850054,0.273541323
STAT6,1168.0,0.380869476,499.0,0.377704,-0.001032961
STMN1,1138.0,0.394107416,364.0,1.342605,-0.343043288
STOM,2222.0,0.387137797,117.0,-1.128378,-0.665574241
STOML2,531.0,0.456962681,143.0,0.288998,0.049092114
STX3,5058.0,0.403902965,547.0,-0.066384,0.190957061
STX7,14891.0,0.417568039,327.0,0.223228,-0.002734827
STX8,107.0,0.378438911,150.0,-0.483201,0.218420218
SUCLG1,223.0,0.43877655,193.0,0.127648,0.106197083
SUFU,3380.0,0.361614756,191.0,-0.268176,-0.319006146
SUMF1,999.0,0.37076871,37.0,-0.23989,0.270639338
SUPT4H1,1112.0,0.438747077,103.0,0.794263,0.48213729
SURF2,1720.0,0.440503417,48.0,0.427736,0.153161314
SURF4,2281.0,0.385472445,476.0,0.10608,-0.290559495
SURF6,4908.0,0.42467207,78.0,0.226414,0.020647022
SUV39H1,1669.0,0.463566826,266.0,0.130681,0.717170687
SYTL1,80.0,0.364244725,197.0,-0.853739,-0.48023188
TACC3,165.0,0.385699108,155.0,0.942759,0.204662488
TAF12,689.0,0.435926756,522.0,0.927946,0.503830458
TAP2,5256.0,0.374969764,175.0,1.022404,-0.3582538
TATDN2,2040.0,0.415810908,581.0,0.061209,0.401582564
TBC1D20,3109.0,0.435441414,148.0,0.224325,0.251224697
TBC1D9B,1396.0,0.395340616,37.0,0.259239,-0.334007319
TBCC,556.0,0.434161456,73.0,0.308332,0.108644284
TCEAL3,260.0,0.368171822,262.0,0.23639,0.094737299
TCEAL4,3020.0,0.432120515,489.0,0.360391,0.343371767
TCOF1,1640.0,0.41523122,108.0,0.388364,0.013482567
TDP1,1721.0,0.418036689,317.0,-0.488663,-0.044806557
TDRD7,242.0,0.375852104,234.0,0.694867,0.097766591
TDRKH,973.0,0.419795099,182.0,0.089291,0.036163408
TEP1,2777.0,0.379550228,40.0,0.682826,0.50071765
TFEB,621.0,0.429366592,302.0,0.067684,0.222422705
THADA,112.0,0.415199561,352.0,-0.391645,-0.446329224
THUMPD1,2715.0,0.455087735,225.0,-0.11835,-0.209272301
THYN1,205.0,0.377954149,484.0,0.305001,0.528534609
TIMM50,3932.0,0.424829064,722.0,0.327476,-0.294240298
TIMM8B,2046.0,0.447942532,30.0,0.665345,0.976945177
TK2,3965.0,0.360054507,593.0,-0.42466,0.208271325
TLE1,571.0,0.374791795,1295.0,0.839073,0.145941623
TM9SF2,2020.0,0.372522209,233.0,-0.427274,-1.032347726
TMED3,1710.0,0.439016102,188.0,-0.196079,-0.725068409
TMED9,708.0,0.44685712,67.0,0.64069,-0.157065494
TMEM126A,52.0,0.406087664,295.0,-0.101431,-0.203068284
TMEM199,2431.0,0.370998168,90.0,-0.483931,-0.078372686
TMEM63A,1407.0,0.385482014,622.0,0.831238,-0.305995301
TMOD1,2050.0,0.392927141,213.0,-1.525379,-0.045028407
TMSB10,278.0,0.470652003,95.0,1.145893,0.120199955
TNFAIP1,2409.0,0.451408648,449.0,-0.844337,-0.05538347
TNFAIP2,2079.0,0.44214387,131.0,-0.962492,-0.643952788
TNFAIP3,1995.0,0.416242917,370.0,0.248413,0.33234787
TNFAIP8L2,497.0,0.440670719,126.0,0.70046,-0.228196026
TNIP1,770.0,0.448321216,241.0,0.03473,-0.048291228
TNK2,822.0,0.420245651,543.0,-0.236914,0.186410156
TNPO2,2070.0,0.408799881,358.0,-0.091956,-0.632609861
TNRC18,1316.0,0.449521205,349.0,0.493196,-0.215387293
TOMM5,518.0,0.441712708,107.0,0.189799,0.475292568
TOP2A,1003.0,0.364102812,159.0,-0.098689,-0.328571209
TOR1A,3160.0,0.446121485,77.0,0.092567,0.118405326
TPD52L2,1600.0,0.385071878,138.0,0.974146,0.336840393
TPI1,620.0,0.479135356,527.0,-0.023855,0.041547743
TPM1,757.0,0.403626605,257.0,-0.759288,0.023989726
TRAF1,7433.0,0.438949906,572.0,0.541868,0.051370344
TRAF3,5716.0,0.386659664,353.0,-0.285904,-0.44760901
TRAF6,6100.0,0.426668941,381.0,-0.307153,0.036177862
TRAPPC3,634.0,0.441060625,519.0,0.454621,0.110978847
TRAPPC5,42.0,0.453352607,241.0,0.479612,0.313466275
TRAPPC6B,2539.0,0.437369008,335.0,0.316343,0.27347855
TRAPPC9,3079.0,0.431357199,134.0,0.246704,-0.161109149
TRIM14,3117.0,0.369225689,165.0,0.471637,0.168381777
TRIM22,1215.0,0.424423711,379.0,0.22927,0.182090335
TRIM26,1431.0,0.384319522,565.0,0.370061,0.081873601
TRIM27,2956.0,0.441704825,359.0,0.334345,0.137547241
TRIM41,1657.0,0.454716896,737.0,0.172747,-0.002600177
TRIM5,2312.0,0.426412011,303.0,0.206944,0.187323972
TRIP12,3739.0,0.40441217,297.0,-0.332214,-0.216236161
TRIP13,2852.0,0.433721983,145.0,0.951702,-0.145088911
TRMT5,3660.0,0.405137655,572.0,0.070509,0.175265843
TRUB2,4655.0,0.434714666,759.0,0.312664,0.394008402
TSFM,1390.0,0.429356434,57.0,0.468497,0.267511593
TSPYL1,7303.0,0.373212405,287.0,-0.707657,-0.56911166
TSR2,1366.0,0.464925113,443.0,0.046975,-0.17344356
TTC39C,3394.0,0.378954091,452.0,-0.209287,-0.201396326
TTC7A,2213.0,0.393400181,1272.0,0.421149,0.029770517
TTPAL,5319.0,0.425556123,145.0,-0.104305,-0.185019603
TUBA1C,110.0,0.451729991,576.0,1.076413,-0.085427119
TUBA4A,644.0,0.402818439,556.0,1.638773,0.239839572
TUBB,1030.0,0.390058461,509.0,0.130163,-0.253292437
TUBB6,2302.0,0.468445054,1139.0,-0.436689,0.367890074
TUBGCP4,1934.0,0.368175973,296.0,-1.036266,-0.607902503
TUSC1,1294.0,0.429789613,537.0,-0.375155,-0.076730385
TXNL4A,3129.0,0.472736328,466.0,0.368985,-0.068422058
TYMP,18.0,0.429537249,376.0,1.906702,0.325172787
TYMS,581.0,0.364557025,159.0,0.745132,0.166009446
TYROBP,168.0,0.417048036,81.0,0.7372,-0.716481738
UBAP2L,353.0,0.367068802,167.0,0.309643,-0.315335548
UBE2B,4002.0,0.405496028,420.0,-0.193659,0.293400969
UBE2E1,1034.0,0.417917446,229.0,-0.652755,0.850082051
UBE2L3,2365.0,0.455573936,198.0,-0.298743,-0.275095868
UBE2L6,703.0,0.431638779,653.0,1.17755,0.206630524
UBE4B,1283.0,0.418913915,688.0,0.178489,-0.02399578
UBIAD1,2303.0,0.446280173,334.0,0.359396,-0.442870839
UBR4,797.0,0.387393976,4.0,0.177727,-0.329619261
UBTF,2209.0,0.400105612,296.0,-0.285138,-0.321510083
UBXN1,220.0,0.422601268,194.0,0.280247,-0.074302262
UCK2,4043.0,0.447469338,640.0,0.504637,0.163398138
UGGT1,5935.0,0.374564832,178.0,-0.091794,0.087163414
UHRF1BP1,5130.0,0.373569339,234.0,-0.423087,0.060930283
UNC45A,377.0,0.475530537,1022.0,-0.726298,-0.734457115
UNG,1024.0,0.368897526,209.0,0.140096,0.44263836
UNK,1388.0,0.447315534,42.0,-0.208851,-0.134965185
UQCR11,4379.0,0.470309826,75.0,0.446166,0.063819154
UQCRC1,129.0,0.462829321,45.0,-0.181892,0.550735176
UQCRH,193.0,0.365128489,320.0,1.052228,-0.225418586
UROD,171.0,0.391539164,133.0,0.262364,0.064828061
UROS,3849.0,0.422413435,266.0,-0.28906,-0.186386905
USP18,580.0,0.434940763,338.0,0.891012,0.01129733
USP39,571.0,0.39295741,223.0,-0.050764,-0.775874657
UTP6,2466.0,0.429918331,83.0,-0.46397,-0.152491445
VAC14,489.0,0.396517204,827.0,0.515043,0.054569461
VAMP8,451.0,0.398153421,156.0,0.539166,-0.254610964
VASP,824.0,0.388921088,342.0,0.042126,0.015431692
VAT1,1456.0,0.406330787,120.0,0.101613,-0.067983925
VDAC3,475.0,0.440388181,210.0,0.498448,-0.188770111
VGLL4,2489.0,0.432812067,506.0,-0.404101,-0.076218277
VIM,431.0,0.411136971,462.0,-0.13048,0.750237575
VPS28,291.0,0.476756313,109.0,-0.000322,-0.479170923
VPS33B,559.0,0.447669729,583.0,-0.291387,-0.151787418
VPS39,2053.0,0.440628838,173.0,-0.711149,-0.029722506
VPS52,2870.0,0.393546356,887.0,0.003976,-0.32274941
WASF2,4090.0,0.365213822,245.0,-0.412068,0.029316377
WBP2,1040.0,0.392225719,515.0,0.452348,0.097196692
WDFY2,7044.0,0.36603015,340.0,-0.512029,0.080452973
WDR1,1039.0,0.393247178,368.0,0.168189,-0.133520623
WDR36,3619.0,0.40459335,117.0,-0.370934,-0.307246522
WDR37,8068.0,0.365587877,173.0,-0.294835,-0.169713821
WDR4,293.0,0.380589271,581.0,0.477363,0.114892224
WDR47,1216.0,0.402106333,376.0,0.045389,0.143214325
WDR48,1924.0,0.419028298,472.0,-0.920624,-0.093662045
WDR5,1979.0,0.401607191,171.0,0.082042,0.018917773
WDR54,97.0,0.394793766,128.0,-0.455234,-0.976089789
WDR61,197.0,0.411764619,310.0,-0.30461,-0.257835411
WDR77,4184.0,0.412330102,139.0,0.512791,-0.079627975
WDR91,4946.0,0.380864599,823.0,0.800815,-0.072366287
WDR92,2520.0,0.427217839,117.0,-0.100009,-0.227865149
YTHDF1,1279.0,0.384821843,294.0,0.854432,0.06033808
YTHDF3,3082.0,0.406652071,509.0,-0.398497,-0.203405046
YY1,5192.0,0.440120149,480.0,0.209209,-0.071719524
ZBED1,2221.0,0.457533868,282.0,0.084123,0.277642206
ZBTB8OS,1087.0,0.406816332,276.0,1.002283,0.395582373
ZC3H12A,768.0,0.421626239,1056.0,0.111314,0.336819847
ZC3H4,2169.0,0.436042942,38.0,-0.003463,-0.0373723
ZFP36L1,2846.0,0.395541595,976.0,-0.582292,-0.054098617
ZMAT2,1942.0,0.460376067,101.0,0.261483,0.028382825
ZMIZ2,4165.0,0.419562196,128.0,0.520305,-1.504758828
ZMYM3,1292.0,0.378831729,749.0,-1.338478,-0.455667284
ZNF207,13817.0,0.386696564,148.0,-0.192709,-0.101935874
ZNF511,243.0,0.452392726,55.0,0.396905,0.250414811
ZNF516,4816.0,0.393186692,318.0,-3.018818,-0.531405122
ZNF622,1298.0,0.463753859,120.0,0.478127,0.233937934
ZNHIT2,49.0,0.440612513,85.0,0.478611,0.294018953
ZWINT,4585.0,0.411772707,37.0,1.100841,0.302439482
