,3prime,tAI,max_5_UTR_length,TCGA-A2-A0CM,TCGA-A2-A0CM.1
SLC27A3,163.0,0.439664345,91.0,-1.083118,-0.382980633
SLC39A10,2661.0,0.346494338,214.0,0.421087,-0.047247882
SLC44A1,8291.0,0.4365497,264.0,1.116863,-0.328173275
SLC9A3R1,709.0,0.400889529,235.0,-0.554147,-0.854990901
SMAP2,1225.0,0.404145004,415.0,1.663444,-0.171515212
SMC1A,5954.0,0.490702048,340.0,-3.64854,0.270796662
SMG5,1363.0,0.383248033,540.0,0.811807,0.351458883
SMS,2660.0,0.417677888,252.0,-2.562821,-0.301394733
SMYD3,223.0,0.378821529,130.0,-1.833464,-0.508499523
SNRNP200,676.0,0.454045162,132.0,-0.018648,0.155347989
SNRPC,474.0,0.427936125,450.0,-0.475032,0.13008817
SNRPD1,4386.0,0.384326147,161.0,-0.283151,-0.020548496
SNRPN,279.0,0.390283395,1145.0,0.202537,0.194285976
SNX24,5071.0,0.338464018,185.0,0.529753,-0.022845021
SNX30,6144.0,0.426743352,148.0,-0.755872,0.012237457
SNX33,5086.0,0.383330712,96.0,0.422588,0.041039337
SOD1,353.0,0.438546885,148.0,0.23432,-0.344417105
SOD2,13436.0,0.435065133,1828.0,-0.693203,0.003634918
SP110,3922.0,0.401738483,258.0,0.496983,0.266662967
SPC24,1691.0,0.381793277,320.0,0.487975,0.188335619
SPC25,540.0,0.373816265,131.0,-0.302999,0.064919105
SPCS1,3333.0,0.417439524,205.0,-1.693152,-0.222408929
SPI1,383.0,0.406748349,223.0,-1.125394,0.276400948
SPRYD4,1406.0,0.430591965,75.0,0.434208,-0.157923509
SQSTM1,1485.0,0.412192979,360.0,-0.659219,-0.61530717
SRC,2671.0,0.437602812,449.0,-0.918302,0.257585336
SRGAP2,3018.0,0.377689891,542.0,0.126219,0.165361797
SRI,5365.0,0.424260151,79.0,0.249189,-0.028836979
SRP19,2645.0,0.430943803,189.0,0.141581,-0.236375364
SRPRB,1784.0,0.427990824,285.0,0.131023,0.091034867
SRR,1392.0,0.393840903,354.0,-0.743975,0.124477791
SRXN1,2099.0,0.37663928,185.0,-0.379539,-0.349971926
SS18L2,777.0,0.45997865,208.0,0.769443,0.560573205
SSH1,5298.0,0.373517564,146.0,-0.179068,0.111415421
SSH3,2595.0,0.376349937,178.0,1.673838,-0.686261624
SSR2,592.0,0.425839932,80.0,0.126386,0.71198853
SSR3,3698.0,0.388415977,156.0,-0.597095,0.318099465
SSR4,87.0,0.444947593,150.0,-2.293134,0.38429397
SSRP1,422.0,0.394601844,267.0,-1.026409,0.261556516
SSU72,400.0,0.445120823,325.0,-0.52975,0.255036114
ST13,3666.0,0.439823793,468.0,-0.472268,-0.43757726
ST14,553.0,0.454138745,193.0,0.177202,-0.140005818
ST3GAL4,594.0,0.39537481,557.0,-0.020594,0.242880153
STAP1,541.0,0.398288494,113.0,-0.416229,-0.404787211
STARD10,1682.0,0.427301627,944.0,-0.043498,-1.483571428
STAT1,3294.0,0.408136156,388.0,0.702965,0.290253718
STAT2,1791.0,0.409862748,203.0,-0.047085,0.213342826
STAT6,1168.0,0.380869476,499.0,-0.26155,0.093728405
STMN1,1138.0,0.394107416,364.0,1.446216,0.551439568
STOM,2222.0,0.387137797,117.0,1.372192,-0.555759211
STOML2,531.0,0.456962681,143.0,-0.078329,0.039745828
STX11,4481.0,0.457080677,192.0,-0.119331,-0.137627297
STX3,5058.0,0.403902965,547.0,-0.637934,-0.578918875
STX7,14891.0,0.417568039,327.0,0.594026,0.190988973
STX8,107.0,0.378438911,150.0,-0.015426,-0.035232043
SUCLG1,223.0,0.43877655,193.0,0.462323,-0.287761887
SUFU,3380.0,0.361614756,191.0,-1.457144,-0.092904493
SUMF1,999.0,0.37076871,37.0,0.795771,0.098144806
SUPT4H1,1112.0,0.438747077,103.0,-0.504427,0.63313185
SURF2,1720.0,0.440503417,48.0,-0.957899,0.434996726
SURF4,2281.0,0.385472445,476.0,-0.389902,-0.119664022
SURF6,4908.0,0.42467207,78.0,0.332533,0.533801772
SYTL1,80.0,0.364244725,197.0,0.937355,-0.587425658
TACC3,165.0,0.385699108,155.0,1.933958,0.534518464
TADA2B,3064.0,0.464060586,151.0,-0.120094,0.105489314
TAF12,689.0,0.435926756,522.0,1.194446,0.363101458
TAP2,5256.0,0.374969764,175.0,0.066635,0.765589181
TBC1D9B,1396.0,0.395340616,37.0,0.847548,-0.141979462
TBCC,556.0,0.434161456,73.0,-2.316638,0.19175418
TCEAL3,260.0,0.368171822,262.0,0.135505,-1.110753149
TCEAL4,3020.0,0.432120515,489.0,-3.19719,-0.008318489
TCOF1,1640.0,0.41523122,108.0,-1.130566,0.363763792
TDP1,1721.0,0.418036689,317.0,-0.288947,0.166674739
TDRD7,242.0,0.375852104,234.0,-0.653237,0.172339858
TDRKH,973.0,0.419795099,182.0,-0.041311,-0.08259512
TEP1,2777.0,0.379550228,40.0,0.418479,-0.01947513
TFE3,1431.0,0.379068139,541.0,2.002723,-0.837663941
TFEB,621.0,0.429366592,302.0,0.024615,0.386840462
THADA,112.0,0.415199561,352.0,-0.311913,-0.087959093
THUMPD1,2715.0,0.455087735,225.0,-2.496216,-0.276550511
THYN1,205.0,0.377954149,484.0,-0.476257,0.152783999
TIMM50,3932.0,0.424829064,722.0,-0.155722,-0.08921683
TIMM8B,2046.0,0.447942532,30.0,0.2952,0.29713285
TK2,3965.0,0.360054507,593.0,-0.679091,-0.225135569
TLE1,571.0,0.374791795,1295.0,0.744782,0.463883385
TM9SF2,2020.0,0.372522209,233.0,0.01573,-0.582798888
TMED3,1710.0,0.439016102,188.0,1.14211,-0.387104446
TMED9,708.0,0.44685712,67.0,2.451152,-0.324074834
TMEM126A,52.0,0.406087664,295.0,-1.373202,-0.187796348
TMEM63A,1407.0,0.385482014,622.0,-4.653673,0.145225593
TMOD1,2050.0,0.392927141,213.0,0.177931,-0.213685743
TMSB10,278.0,0.470652003,95.0,0.069114,0.268117477
TNFAIP1,2409.0,0.451408648,449.0,0.669994,-0.274178042
TNFAIP2,2079.0,0.44214387,131.0,-1.137166,0.024557467
TNFAIP3,1995.0,0.416242917,370.0,0.608788,0.343857389
TNFAIP8L2,497.0,0.440670719,126.0,-0.249408,0.068997552
TNIP1,770.0,0.448321216,241.0,-0.816466,0.317130975
TNK2,822.0,0.420245651,543.0,-0.242074,0.106839396
TNPO2,2070.0,0.408799881,358.0,1.860366,0.045431917
TNRC18,1316.0,0.449521205,349.0,-0.705019,0.093206837
TOMM5,518.0,0.441712708,107.0,0.961695,0.189640422
TOMM6,1957.0,0.431553434,255.0,-0.158152,-1.427050585
TOP2A,1003.0,0.364102812,159.0,-0.114422,0.603723579
TOR1A,3160.0,0.446121485,77.0,1.618079,0.072523799
TPD52L2,1600.0,0.385071878,138.0,-1.335013,0.205345802
TPI1,620.0,0.479135356,527.0,0.547659,0.001252584
TPM1,757.0,0.403626605,257.0,-0.175333,0.00274044
TRAF1,7433.0,0.438949906,572.0,-1.434559,0.319096002
TRAF6,6100.0,0.426668941,381.0,-0.749271,0.266744582
TRAPPC3,634.0,0.441060625,519.0,-1.618778,0.08584705
TRAPPC5,42.0,0.453352607,241.0,-0.526091,-0.06005708
TRAPPC6B,2539.0,0.437369008,335.0,-0.4927,0.084019138
TRAPPC9,3079.0,0.431357199,134.0,-2.986839,-0.022772482
TRIM11,3522.0,0.453298916,255.0,-0.109767,-0.141781214
TRIM13,5308.0,0.419190719,763.0,-0.192705,-0.461044185
TRIM14,3117.0,0.369225689,165.0,-1.431061,0.124905918
TRIM22,1215.0,0.424423711,379.0,0.560365,0.551793871
TRIM26,1431.0,0.384319522,565.0,0.394468,0.158731748
TRIM27,2956.0,0.441704825,359.0,0.227117,0.913172675
TRIM41,1657.0,0.454716896,737.0,0.261912,-0.270430152
TRIM5,2312.0,0.426412011,303.0,0.35367,0.252735051
TRIP12,3739.0,0.40441217,297.0,0.347176,-0.167576264
TRIP13,2852.0,0.433721983,145.0,0.181836,-0.028732339
TRMT5,3660.0,0.405137655,572.0,-0.406639,0.124840513
TRUB2,4655.0,0.434714666,759.0,0.35156,0.059484542
TSFM,1390.0,0.429356434,57.0,-0.184774,-0.198916399
TSPAN14,15147.0,0.398868986,305.0,4.399642,0.430507554
TSPYL1,7303.0,0.373212405,287.0,-0.076989,-0.067054488
TSR2,1366.0,0.464925113,443.0,-0.863885,0.108986259
TTC39C,3394.0,0.378954091,452.0,0.58377,-0.14882796
TTC7A,2213.0,0.393400181,1272.0,-0.288531,0.167071952
TTPAL,5319.0,0.425556123,145.0,-1.427112,0.172352051
TTYH3,3063.0,0.383645273,187.0,0.821446,-1.232628748
TUBA1C,110.0,0.451729991,576.0,-0.636972,0.008719429
TUBA4A,644.0,0.402818439,556.0,-0.010324,-0.093138387
TUBB,1030.0,0.390058461,509.0,-2.021907,0.145000154
TUBB6,2302.0,0.468445054,1139.0,-0.130876,0.403872646
TUBGCP4,1934.0,0.368175973,296.0,-1.688683,-0.02930451
TUSC1,1294.0,0.429789613,537.0,1.480172,0.323916141
TXNL4A,3129.0,0.472736328,466.0,-0.327478,0.051630158
TYMP,18.0,0.429537249,376.0,1.020344,-0.094026563
TYMS,581.0,0.364557025,159.0,0.064407,-0.148541453
TYROBP,168.0,0.417048036,81.0,0.108561,-0.01332377
UBAP2L,353.0,0.367068802,167.0,0.843571,0.006918322
UBE2B,4002.0,0.405496028,420.0,-0.773367,-0.186130356
UBE2E1,1034.0,0.417917446,229.0,0.721741,0.737479249
UBE2L3,2365.0,0.455573936,198.0,-0.480617,-0.057755465
UBE2L6,703.0,0.431638779,653.0,0.317853,0.140116963
UBE4B,1283.0,0.418913915,688.0,0.603278,0.116984664
UBIAD1,2303.0,0.446280173,334.0,-0.124175,-0.048232032
UBR4,797.0,0.387393976,4.0,2.787712,0.238359146
UBTF,2209.0,0.400105612,296.0,0.929611,0.043350241
UBXN1,220.0,0.422601268,194.0,0.355869,-0.044935576
UCK2,4043.0,0.447469338,640.0,-1.664929,0.525574114
UGGT1,5935.0,0.374564832,178.0,-0.96782,-0.227280968
UHRF1BP1,5130.0,0.373569339,234.0,1.920729,-0.231447936
UNC45A,377.0,0.475530537,1022.0,0.0259,0.483975678
UNG,1024.0,0.368897526,209.0,-0.212209,0.130155423
UNK,1388.0,0.447315534,42.0,0.641551,-0.010320744
UQCR11,4379.0,0.470309826,75.0,2.026544,-0.296875607
UQCRC1,129.0,0.462829321,45.0,0.69368,-0.038439795
UQCRH,193.0,0.365128489,320.0,-0.222593,0.060910815
UROD,171.0,0.391539164,133.0,-0.032264,0.126894732
UROS,3849.0,0.422413435,266.0,-4.055294,-0.386502858
USP18,580.0,0.434940763,338.0,-0.061261,0.418080516
USP39,571.0,0.39295741,223.0,1.314781,0.107628055
UTP6,2466.0,0.429918331,83.0,-0.669949,0.37133821
VAC14,489.0,0.396517204,827.0,-0.670329,0.16303937
VAMP8,451.0,0.398153421,156.0,0.632171,0.011096933
VASP,824.0,0.388921088,342.0,-0.050997,0.165686699
VAT1,1456.0,0.406330787,120.0,-0.205758,-0.118263183
VDAC3,475.0,0.440388181,210.0,0.375378,0.277009656
VDR,3209.0,0.450036866,401.0,-0.698657,-0.230861938
VGLL4,2489.0,0.432812067,506.0,-0.146746,0.642223651
VIM,431.0,0.411136971,462.0,-5.812345,0.321067467
VLDLR,6202.0,0.388727284,416.0,0.860024,1.038325754
VPS28,291.0,0.476756313,109.0,0.852129,-0.010467376
VPS33B,559.0,0.447669729,583.0,-0.564452,0.059472226
VPS39,2053.0,0.440628838,173.0,1.609244,0.045773706
VPS52,2870.0,0.393546356,887.0,-3.213695,-0.055452536
WASF2,4090.0,0.365213822,245.0,-0.448601,0.313348953
WBP2,1040.0,0.392225719,515.0,-0.59989,0.153811719
WDFY2,7044.0,0.36603015,340.0,0.393485,-0.145304522
WDR1,1039.0,0.393247178,368.0,-1.057196,-0.015479724
WDR36,3619.0,0.40459335,117.0,-0.421501,0.44580481
WDR37,8068.0,0.365587877,173.0,-0.248313,-0.00804265
WDR4,293.0,0.380589271,581.0,2.050397,0.106453414
WDR47,1216.0,0.402106333,376.0,1.724043,0.270055263
WDR48,1924.0,0.419028298,472.0,0.065328,0.53376454
WDR5,1979.0,0.401607191,171.0,0.557073,0.47112986
WDR54,97.0,0.394793766,128.0,-3.349773,-0.515868349
WDR61,197.0,0.411764619,310.0,0.148894,-0.099575665
WDR77,4184.0,0.412330102,139.0,-1.443142,-0.053394619
WDR91,4946.0,0.380864599,823.0,-0.35826,-0.056787494
WDR92,2520.0,0.427217839,117.0,0.018674,0.148357135
YTHDF1,1279.0,0.384821843,294.0,0.46655,0.103821479
YTHDF3,3082.0,0.406652071,509.0,2.144879,0.113477801
YY1,5192.0,0.440120149,480.0,3.649111,0.201137203
ZBED1,2221.0,0.457533868,282.0,-1.224696,-0.089179907
ZBTB8OS,1087.0,0.406816332,276.0,-0.242269,-0.282553367
ZC3H12A,768.0,0.421626239,1056.0,0.325338,0.108981218
ZC3H4,2169.0,0.436042942,38.0,-0.575685,0.268508259
ZFP36L1,2846.0,0.395541595,976.0,-1.064628,-0.013375447
ZMAT2,1942.0,0.460376067,101.0,-0.392423,0.184602083
ZMIZ2,4165.0,0.419562196,128.0,-0.422509,0.012967071
ZMYM3,1292.0,0.378831729,749.0,-0.638431,0.257802674
ZNF207,13817.0,0.386696564,148.0,-2.524377,0.042304163
ZNF414,113.0,0.422835658,118.0,-1.333022,-0.150946566
ZNF511,243.0,0.452392726,55.0,0.4155,0.005165694
ZNF516,4816.0,0.393186692,318.0,-0.393911,-0.064228295
ZNF622,1298.0,0.463753859,120.0,0.222029,0.088983881
ZNHIT2,49.0,0.440612513,85.0,-0.3977731428571429,-0.396882177
ZNHIT3,419.0,0.425204303,73.0,0.0303675657894736,0.153232202
ZWINT,4585.0,0.411772707,37.0,0.3786588421052632,-0.017152472
