,3prime,tAI,max_5_UTR_length,TCGA-BH-A0C1,TCGA-BH-A0C1.1
SEC24D,2115.0,0.386600041,297.0,0.431676,0.541491522
SEC61B,270.0,0.404562259,76.0,-0.251327,0.146455905
SEMA3F,960.0,0.38837398,318.0,0.597386,-0.456413189
SEMA4A,755.0,0.412797256,345.0,0.673127,0.564274193
SEMA4D,2318.0,0.393173667,572.0,-0.169381,0.743203475
SERPINA1,1707.0,0.420489385,573.0,-1.12061,-0.673558447
SERPINB8,2096.0,0.38524815,520.0,-0.226523,-0.394982842
SETMAR,321.0,0.414235412,398.0,0.102624,-0.194957473
SEZ6L2,540.0,0.431800162,245.0,1.37163,0.398746263
SF1,2419.0,0.374481437,721.0,-0.105298,-0.064657558
SF3B2,563.0,0.453902675,40.0,-0.413579,-0.093132889
SFXN4,500.0,0.402513841,45.0,-0.45442,0.42805672
SH3BP1,433.0,0.395530944,313.0,0.474713,0.458221087
SH3PXD2B,4870.0,0.420952884,171.0,0.706673,0.185579797
SHMT1,4335.0,0.394510245,509.0,-0.884907,-0.421342642
SIGLEC1,1590.0,0.42099348,0.0,-0.927289,0.712783016
SIPA1,2933.0,0.437718847,296.0,-0.317574,0.30073444
SIRPA,3027.0,0.429235057,360.0,-0.517661,0.238512319
SKP1,8791.0,0.433886974,179.0,0.267157,-0.196775965
SLBP,3046.0,0.391438372,553.0,-0.268865,0.05778182
SLC25A10,1929.0,0.386184273,191.0,-0.951136,0.218134574
SLC25A19,477.0,0.386093473,224.0,-1.245142,0.2464242
SLC25A20,787.0,0.382641976,199.0,-0.907151,-0.024678145
SLC25A3,504.0,0.383836987,354.0,-0.591974,0.328100488
SLC25A40,2688.0,0.363984785,375.0,0.428283,0.294964625
SLC25A42,2156.0,0.366871382,156.0,-0.994647,0.60501046
SLC25A6,450.0,0.487227384,137.0,0.156922,0.745308533
SLC27A3,163.0,0.439664345,91.0,0.91885,0.141349802
SLC39A10,2661.0,0.346494338,214.0,1.547374,-0.707429314
SLC43A2,6357.0,0.437839378,341.0,-0.345407,-0.633153009
SLC43A3,838.0,0.382351997,447.0,-0.355144,0.562409956
SLC44A1,8291.0,0.4365497,264.0,0.396499,-0.034156768
SLC9A3R1,709.0,0.400889529,235.0,-2.108931,-1.202432194
SMAP2,1225.0,0.404145004,415.0,0.179732,0.221064588
SMC1A,5954.0,0.490702048,340.0,0.308069,0.017426001
SMG5,1363.0,0.383248033,540.0,-0.002772,0.36900253
SMS,2660.0,0.417677888,252.0,-0.009719,0.058775246
SMYD3,223.0,0.378821529,130.0,0.753183,0.053791369
SNRNP200,676.0,0.454045162,132.0,0.360843,0.207797203
SNRPC,474.0,0.427936125,450.0,-0.077514,-0.266314583
SNRPD1,4386.0,0.384326147,161.0,0.170477,0.081111323
SNRPN,279.0,0.390283395,1145.0,-1.971389,0.089519689
SNX24,5071.0,0.338464018,185.0,0.792874,0.123405066
SNX30,6144.0,0.426743352,148.0,0.635274,-0.11396958
SNX33,5086.0,0.383330712,96.0,-0.687283,0.292295716
SOD1,353.0,0.438546885,148.0,-0.586727,-0.115822419
SOD2,13436.0,0.435065133,1828.0,0.287194,-0.409024313
SP110,3922.0,0.401738483,258.0,-1.021953,0.231605392
SPC24,1691.0,0.381793277,320.0,0.817909,0.463556125
SPC25,540.0,0.373816265,131.0,0.358792,0.14237359
SPCS1,3333.0,0.417439524,205.0,-0.33444,0.055897449
SPI1,383.0,0.406748349,223.0,-0.517152,0.651213153
SPRYD4,1406.0,0.430591965,75.0,0.085234,0.152742221
SQSTM1,1485.0,0.412192979,360.0,-0.760164,-0.101527308
SRC,2671.0,0.437602812,449.0,-0.038682,0.240927809
SRGAP2,3018.0,0.377689891,542.0,0.928621,0.148064521
SRI,5365.0,0.424260151,79.0,-0.439095,-0.094665469
SRP19,2645.0,0.430943803,189.0,-0.05841,-0.21199545
SRPRB,1784.0,0.427990824,285.0,-0.519455,0.598236142
SRR,1392.0,0.393840903,354.0,-1.309467,-0.386898694
SRXN1,2099.0,0.37663928,185.0,0.014879,0.049069436
SS18L2,777.0,0.45997865,208.0,-0.361108,-0.522956766
SSH1,5298.0,0.373517564,146.0,-0.195124,-0.178933836
SSH3,2595.0,0.376349937,178.0,-0.065878,-0.432156287
SSR2,592.0,0.425839932,80.0,0.494326,-1.061691877
SSR3,3698.0,0.388415977,156.0,-0.166934,-0.96857526
SSR4,87.0,0.444947593,150.0,-0.511318,0.277583886
SSRP1,422.0,0.394601844,267.0,-0.155214,-0.340801513
SSU72,400.0,0.445120823,325.0,-0.805752,0.155689031
ST13,3666.0,0.439823793,468.0,-0.014508,-0.509819
ST14,553.0,0.454138745,193.0,0.379919,0.200766218
ST3GAL4,594.0,0.39537481,557.0,-0.516942,0.018114113
STAP1,541.0,0.398288494,113.0,-0.739124,-0.536010243
STARD10,1682.0,0.427301627,944.0,-1.066389,-0.97727623
STAT1,3294.0,0.408136156,388.0,1.541092,0.904147286
STAT2,1791.0,0.409862748,203.0,0.30474,0.641120336
STAT6,1168.0,0.380869476,499.0,0.375645,0.385945757
STMN1,1138.0,0.394107416,364.0,-0.131777,-0.255359371
STOM,2222.0,0.387137797,117.0,-1.242929,0.329940133
STOML2,531.0,0.456962681,143.0,-0.23002,0.503450019
STX11,4481.0,0.457080677,192.0,-0.717187,0.456425185
STX3,5058.0,0.403902965,547.0,0.039585,-0.499144391
STX7,14891.0,0.417568039,327.0,0.28792,-0.213320848
STX8,107.0,0.378438911,150.0,-0.266829,0.341916882
SUCLG1,223.0,0.43877655,193.0,-0.284374,0.19405573
SUFU,3380.0,0.361614756,191.0,0.51847,-0.061381041
SUMF1,999.0,0.37076871,37.0,0.145579,-0.004511925
SUPT4H1,1112.0,0.438747077,103.0,-0.731598,0.432910473
SURF2,1720.0,0.440503417,48.0,-0.842544,-0.262185806
SURF4,2281.0,0.385472445,476.0,-0.175597,0.704234522
SURF6,4908.0,0.42467207,78.0,-0.398219,0.737079063
SUV39H1,1669.0,0.463566826,266.0,0.072109,-1.072895404
SVIP,4195.0,0.357937352,217.0,-0.348937,0.326263088
SYTL1,80.0,0.364244725,197.0,-0.551878,-0.367354864
TACC3,165.0,0.385699108,155.0,-0.224037,0.191732126
TADA2B,3064.0,0.464060586,151.0,-0.159398,0.455185922
TAF12,689.0,0.435926756,522.0,-0.851295,0.043617449
TAP2,5256.0,0.374969764,175.0,-0.078151,1.505588836
TATDN2,2040.0,0.415810908,581.0,-0.432137,0.210359456
TBC1D20,3109.0,0.435441414,148.0,-0.089895,-0.320646398
TBC1D9B,1396.0,0.395340616,37.0,-0.067691,0.068504762
TBCC,556.0,0.434161456,73.0,-0.187283,0.001560048
TCEAL3,260.0,0.368171822,262.0,-0.493459,-1.184038009
TCEAL4,3020.0,0.432120515,489.0,-0.13488,-0.63323407
TCOF1,1640.0,0.41523122,108.0,0.326116,0.300462884
TDP1,1721.0,0.418036689,317.0,0.579814,-0.026815094
TDRD7,242.0,0.375852104,234.0,-0.526724,0.466401336
TDRKH,973.0,0.419795099,182.0,0.887837,0.536942584
TEP1,2777.0,0.379550228,40.0,-0.162934,-0.171981678
TFE3,1431.0,0.379068139,541.0,-0.291845,-1.299265964
TFEB,621.0,0.429366592,302.0,-0.361462,-0.366080662
THADA,112.0,0.415199561,352.0,0.779689,0.189150667
THUMPD1,2715.0,0.455087735,225.0,-0.22658,-0.03213553
THYN1,205.0,0.377954149,484.0,-0.380781,0.232267722
TIMM50,3932.0,0.424829064,722.0,-0.001723,-0.227661662
TIMM8B,2046.0,0.447942532,30.0,-0.330261,-0.296020401
TK2,3965.0,0.360054507,593.0,-0.251719,0.392988079
TLE1,571.0,0.374791795,1295.0,0.848032,-0.24497907
TM9SF2,2020.0,0.372522209,233.0,0.472423,-0.544842601
TMED3,1710.0,0.439016102,188.0,-0.671159,-0.417057172
TMED9,708.0,0.44685712,67.0,-0.236436,0.704613756
TMEM126A,52.0,0.406087664,295.0,-0.320807,0.857905525
TMEM199,2431.0,0.370998168,90.0,-0.595708,-1.61839299
TMEM63A,1407.0,0.385482014,622.0,1.248079,-0.014714356
TMOD1,2050.0,0.392927141,213.0,-0.771503,0.95449281
TMSB10,278.0,0.470652003,95.0,0.580217,0.312320711
TNFAIP2,2079.0,0.44214387,131.0,-1.42517,0.703869456
TNFAIP3,1995.0,0.416242917,370.0,1.400013,0.303190339
TNFAIP8L2,497.0,0.440670719,126.0,-0.498567,0.292841665
TNIP1,770.0,0.448321216,241.0,-0.263171,0.455900631
TNK2,822.0,0.420245651,543.0,-0.264382,0.207906565
TNPO2,2070.0,0.408799881,358.0,-0.011392,0.045277114
TNRC18,1316.0,0.449521205,349.0,0.660513,-0.10796983
TOMM5,518.0,0.441712708,107.0,-0.218895,0.346266129
TOMM6,1957.0,0.431553434,255.0,-0.199645,0.252407963
TOP2A,1003.0,0.364102812,159.0,0.468384,0.455172456
TOR1A,3160.0,0.446121485,77.0,0.045527,0.231827357
TPD52L2,1600.0,0.385071878,138.0,-0.336501,-0.007727936
TPI1,620.0,0.479135356,527.0,-0.20083,0.006960452
TPM1,757.0,0.403626605,257.0,-0.756074,-0.653029205
TRAF1,7433.0,0.438949906,572.0,-0.2742,0.212503448
TRAF3,5716.0,0.386659664,353.0,-0.193231,-0.258316563
TRAF6,6100.0,0.426668941,381.0,0.116237,0.052185909
TRAPPC3,634.0,0.441060625,519.0,-0.809658,0.207607848
TRAPPC5,42.0,0.453352607,241.0,-0.634161,0.492357892
TRAPPC6B,2539.0,0.437369008,335.0,-0.070831,-0.060065417
TRAPPC9,3079.0,0.431357199,134.0,0.269934,-0.020953224
TRIM11,3522.0,0.453298916,255.0,0.340339,-0.042286198
TRIM14,3117.0,0.369225689,165.0,0.401631,0.591583699
TRIM22,1215.0,0.424423711,379.0,-0.085854,0.915335823
TRIM26,1431.0,0.384319522,565.0,0.278913,0.474736392
TRIM27,2956.0,0.441704825,359.0,0.070547,0.316069805
TRIM41,1657.0,0.454716896,737.0,-0.310232,-0.006527704
TRIM5,2312.0,0.426412011,303.0,-0.258447,-0.006356795
TRIP12,3739.0,0.40441217,297.0,0.639035,0.558644661
TRIP13,2852.0,0.433721983,145.0,0.539681,0.558882879
TRMT5,3660.0,0.405137655,572.0,0.329039,0.160297245
TRUB2,4655.0,0.434714666,759.0,-0.290739,0.741028239
TSFM,1390.0,0.429356434,57.0,0.456383,0.424737876
TSPAN14,15147.0,0.398868986,305.0,0.025823,0.28069171
TSPYL1,7303.0,0.373212405,287.0,0.280074,-0.320344225
TSR2,1366.0,0.464925113,443.0,-0.685355,0.209790287
TTC39C,3394.0,0.378954091,452.0,-0.327909,0.167343743
TTC7A,2213.0,0.393400181,1272.0,-0.641689,0.408751077
TTPAL,5319.0,0.425556123,145.0,-0.034202,-0.164768894
TTYH3,3063.0,0.383645273,187.0,0.783595,-0.075674294
TUBA1C,110.0,0.451729991,576.0,-0.698262,0.103644207
TUBA4A,644.0,0.402818439,556.0,-0.648255,-0.612259061
TUBB,1030.0,0.390058461,509.0,-0.177276,-0.045379683
TUBB6,2302.0,0.468445054,1139.0,-0.640585,0.045515199
TUBGCP4,1934.0,0.368175973,296.0,-0.149995,0.325120071
TUSC1,1294.0,0.429789613,537.0,-0.353081,-1.183166391
TXNL4A,3129.0,0.472736328,466.0,0.092099,0.104053865
TYMP,18.0,0.429537249,376.0,-0.926487,0.485163486
TYMS,581.0,0.364557025,159.0,0.043223,0.663703149
TYROBP,168.0,0.417048036,81.0,-0.763229,-0.03473676
UBAP2L,353.0,0.367068802,167.0,0.983511,0.32052637
UBE2B,4002.0,0.405496028,420.0,0.131785,-0.304515241
UBE2E1,1034.0,0.417917446,229.0,-0.015696,-0.524728107
UBE2L3,2365.0,0.455573936,198.0,-0.092685,-0.240789556
UBE2L6,703.0,0.431638779,653.0,-0.096591,0.643305953
UBE4B,1283.0,0.418913915,688.0,-0.360017,-0.012821587
UBIAD1,2303.0,0.446280173,334.0,-0.312709,-0.156800745
UBR4,797.0,0.387393976,4.0,0.166185,0.210178306
UBTF,2209.0,0.400105612,296.0,-0.295697,-0.127241047
UBXN1,220.0,0.422601268,194.0,-0.778365,0.108906823
UCK2,4043.0,0.447469338,640.0,0.449113,1.086676836
UGGT1,5935.0,0.374564832,178.0,0.671886,-0.096394427
UHRF1BP1,5130.0,0.373569339,234.0,0.326525,0.030198283
UNC45A,377.0,0.475530537,1022.0,-0.79474,-0.345969497
UNG,1024.0,0.368897526,209.0,-0.675849,0.55466065
UNK,1388.0,0.447315534,42.0,-0.634129,-0.213083174
UQCR11,4379.0,0.470309826,75.0,-0.274545,-0.384587974
UQCRC1,129.0,0.462829321,45.0,-0.374961,0.402279763
UQCRH,193.0,0.365128489,320.0,-0.655826,-0.046021946
UROD,171.0,0.391539164,133.0,-0.913869,0.633652603
UROS,3849.0,0.422413435,266.0,0.406184,-0.296263943
USP18,580.0,0.434940763,338.0,-0.422945,0.698190218
USP39,571.0,0.39295741,223.0,0.400469,0.325783111
UTP6,2466.0,0.429918331,83.0,-0.540411,0.278052029
VAC14,489.0,0.396517204,827.0,-0.108351,0.435858268
VAMP8,451.0,0.398153421,156.0,-0.297251,0.636002663
VASP,824.0,0.388921088,342.0,0.782581,-0.010399675
VAT1,1456.0,0.406330787,120.0,-0.466621,-0.491181302
VDAC3,475.0,0.440388181,210.0,-0.040348,1.028900292
VDR,3209.0,0.450036866,401.0,0.913444,-0.122261246
VGLL4,2489.0,0.432812067,506.0,0.283876,0.308927747
VIM,431.0,0.411136971,462.0,-0.307287,-0.373746286
VPS28,291.0,0.476756313,109.0,-0.35468,-0.023032727
VPS33B,559.0,0.447669729,583.0,-0.803318,0.172727634
VPS39,2053.0,0.440628838,173.0,-0.39303,0.041626303
VPS52,2870.0,0.393546356,887.0,0.13288,0.280126634
WASF2,4090.0,0.365213822,245.0,-0.108049,0.1469424
WBP2,1040.0,0.392225719,515.0,-1.407994,0.382900141
WDFY2,7044.0,0.36603015,340.0,0.18048,-0.105397114
WDR1,1039.0,0.393247178,368.0,-0.070376,0.078187911
WDR36,3619.0,0.40459335,117.0,0.368208,0.554743721
WDR37,8068.0,0.365587877,173.0,-0.067595,0.178060223
WDR4,293.0,0.380589271,581.0,0.443213,-0.002971163
WDR47,1216.0,0.402106333,376.0,0.031042,0.060877586
WDR48,1924.0,0.419028298,472.0,0.298831,0.220567064
WDR5,1979.0,0.401607191,171.0,-0.25432,0.288203822
WDR54,97.0,0.394793766,128.0,-1.716164,0.116876254
WDR61,197.0,0.411764619,310.0,-0.714968,-0.240160428
WDR77,4184.0,0.412330102,139.0,-0.413035,-0.29678313
WDR91,4946.0,0.380864599,823.0,-0.338398,0.428366676
WDR92,2520.0,0.427217839,117.0,0.127088,0.317138334
YTHDF1,1279.0,0.384821843,294.0,0.136697,-0.573259304
YTHDF3,3082.0,0.406652071,509.0,0.467497,0.237697304
YY1,5192.0,0.440120149,480.0,0.1321,-0.762992909
ZBED1,2221.0,0.457533868,282.0,-0.00269,0.271185097
ZBTB8OS,1087.0,0.406816332,276.0,-0.516207,-0.761862066
ZC3H12A,768.0,0.421626239,1056.0,-0.693447,0.018028582
ZC3H4,2169.0,0.436042942,38.0,0.099673,-0.123748797
ZCCHC2,2006.0,0.404185753,0.0,0.065754,0.083679678
ZFP36L1,2846.0,0.395541595,976.0,0.202129,0.092115925
ZMAT2,1942.0,0.460376067,101.0,-0.079371,-0.46692408
ZMIZ2,4165.0,0.419562196,128.0,-0.143919,0.611908145
ZMYM3,1292.0,0.378831729,749.0,0.850765,-0.230722781
ZNF207,13817.0,0.386696564,148.0,0.185076,-0.011042344
ZNF414,113.0,0.422835658,118.0,-0.074473,-0.841960359
ZNF511,243.0,0.452392726,55.0,-0.853342,0.349053731
ZNF516,4816.0,0.393186692,318.0,1.008218,-0.138430609
ZNF622,1298.0,0.463753859,120.0,-0.213332,-0.0113187
ZNHIT2,49.0,0.440612513,85.0,-0.670401,0.027168524
ZNHIT3,419.0,0.425204303,73.0,-0.863441,-0.692390629
ZWINT,4585.0,0.411772707,37.0,-0.450122,0.060567738
