,3prime,tAI,max_5_UTR_length,TCGA-AR-A0U4,TCGA-AR-A0U4.1
SNRNP200,676.0,0.454045162,132.0,-0.263044,0.005781487
SNRPC,474.0,0.427936125,450.0,0.074022,-0.205523217
SNRPD1,4386.0,0.384326147,161.0,1.492885,0.484918589
SNRPN,279.0,0.390283395,1145.0,0.422573,0.186390217
SNX30,6144.0,0.426743352,148.0,-0.741634,-0.568320948
SNX33,5086.0,0.383330712,96.0,0.63347,0.280940454
SOD1,353.0,0.438546885,148.0,-0.23896,-0.435381099
SOD2,13436.0,0.435065133,1828.0,4.29591,1.136825696
SP110,3922.0,0.401738483,258.0,-0.827994,-0.220126223
SPC24,1691.0,0.381793277,320.0,0.641642,0.174751907
SPC25,540.0,0.373816265,131.0,0.235879,-0.156098838
SPCS1,3333.0,0.417439524,205.0,-0.66606,-0.645276781
SPI1,383.0,0.406748349,223.0,2.094328,0.178178545
SPRYD4,1406.0,0.430591965,75.0,-1.32174,-0.497636327
SQSTM1,1485.0,0.412192979,360.0,-0.220139,0.108827439
SRC,2671.0,0.437602812,449.0,0.271932,0.242243858
SRGAP2,3018.0,0.377689891,542.0,1.099537,0.473902364
SRI,5365.0,0.424260151,79.0,0.396622,0.170023722
SRP19,2645.0,0.430943803,189.0,-0.191148,-0.121404276
SRPRB,1784.0,0.427990824,285.0,0.635403,-0.385620838
SRR,1392.0,0.393840903,354.0,-1.664502,-0.706850446
SRXN1,2099.0,0.37663928,185.0,-0.127289,0.033259731
SS18L2,777.0,0.45997865,208.0,-0.284173,0.359904091
SSH1,5298.0,0.373517564,146.0,0.895518,0.425161218
SSH3,2595.0,0.376349937,178.0,-1.339605,-0.409039662
SSR2,592.0,0.425839932,80.0,0.619027,0.70607046
SSR3,3698.0,0.388415977,156.0,0.514279,-0.784189157
SSR4,87.0,0.444947593,150.0,-0.360908,-0.191468729
SSRP1,422.0,0.394601844,267.0,0.8181,0.393656924
SSU72,400.0,0.445120823,325.0,0.381936,-0.18349201
ST13,3666.0,0.439823793,468.0,-0.430586,-0.353755046
ST14,553.0,0.454138745,193.0,0.314059,-0.051564981
ST3GAL4,594.0,0.39537481,557.0,1.30102,0.1661291
STARD10,1682.0,0.427301627,944.0,-1.891695,-0.93851173
STAT1,3294.0,0.408136156,388.0,0.381152,-0.711823424
STAT2,1791.0,0.409862748,203.0,-1.02701,-0.70666568
STAT6,1168.0,0.380869476,499.0,-0.634045,-0.153851833
STMN1,1138.0,0.394107416,364.0,0.75092,0.260142444
STOM,2222.0,0.387137797,117.0,-0.914948,0.881598118
STOML2,531.0,0.456962681,143.0,-0.032578,-0.079040183
STX3,5058.0,0.403902965,547.0,-0.191387,0.476770232
STX7,14891.0,0.417568039,327.0,0.024687,-0.164034353
STX8,107.0,0.378438911,150.0,-0.842276,-0.164158869
SUCLG1,223.0,0.43877655,193.0,-0.71754,-0.139349922
SUFU,3380.0,0.361614756,191.0,0.33918,-0.410600621
SUMF1,999.0,0.37076871,37.0,0.091098,0.693313395
SUPT4H1,1112.0,0.438747077,103.0,0.792492,-0.574829786
SURF2,1720.0,0.440503417,48.0,-1.107377,-0.098107359
SURF4,2281.0,0.385472445,476.0,0.182172,-0.814825777
SURF6,4908.0,0.42467207,78.0,-0.657384,0.039564133
SYTL1,80.0,0.364244725,197.0,-2.204106,-0.168154181
TACC3,165.0,0.385699108,155.0,0.471191,0.433157647
TAF12,689.0,0.435926756,522.0,-0.398753,-0.006741714
TAP2,5256.0,0.374969764,175.0,1.528969,0.508923939
TATDN2,2040.0,0.415810908,581.0,0.962721,0.399426036
TBC1D9B,1396.0,0.395340616,37.0,-0.378484,-0.217868524
TBCC,556.0,0.434161456,73.0,-0.102358,-0.005349612
TCEAL3,260.0,0.368171822,262.0,-0.776191,-0.491963849
TCEAL4,3020.0,0.432120515,489.0,-1.40151,-0.541781688
TCOF1,1640.0,0.41523122,108.0,-0.902632,-0.651502033
TDP1,1721.0,0.418036689,317.0,-0.044642,-0.05102934
TDRD7,242.0,0.375852104,234.0,0.380854,0.31294695
TDRKH,973.0,0.419795099,182.0,-0.16168,0.083099494
TEP1,2777.0,0.379550228,40.0,-0.040775,0.188579153
TFE3,1431.0,0.379068139,541.0,0.348505,-0.158503311
TFEB,621.0,0.429366592,302.0,0.499457,0.558288707
THADA,112.0,0.415199561,352.0,-0.207505,-0.048401003
THUMPD1,2715.0,0.455087735,225.0,-0.346211,-0.328995254
THYN1,205.0,0.377954149,484.0,-0.04297,-0.164379808
TIMM50,3932.0,0.424829064,722.0,0.631625,0.00087746
TIMM8B,2046.0,0.447942532,30.0,-0.069575,0.24085429
TK2,3965.0,0.360054507,593.0,-0.369353,-0.138249959
TLE1,571.0,0.374791795,1295.0,0.093816,0.111956078
TM9SF2,2020.0,0.372522209,233.0,-0.88528,-1.119346436
TMED3,1710.0,0.439016102,188.0,0.420831,0.577490814
TMED9,708.0,0.44685712,67.0,-0.127403,-0.449933714
TMEM126A,52.0,0.406087664,295.0,-0.25683,-0.115786113
TMEM199,2431.0,0.370998168,90.0,-0.52921,0.144993027
TMEM63A,1407.0,0.385482014,622.0,-0.228602,-1.036295916
TMOD1,2050.0,0.392927141,213.0,3.018794,0.700762351
TMSB10,278.0,0.470652003,95.0,0.292183,-0.20955034
TNFAIP2,2079.0,0.44214387,131.0,3.662494,1.561671289
TNFAIP3,1995.0,0.416242917,370.0,3.133929,0.912709401
TNFAIP8L2,497.0,0.440670719,126.0,1.519902,0.64590307
TNIP1,770.0,0.448321216,241.0,0.389061,0.138634464
TNK2,822.0,0.420245651,543.0,-1.126013,-0.530204903
TNPO2,2070.0,0.408799881,358.0,0.89989,0.157204248
TNRC18,1316.0,0.449521205,349.0,-1.062547,-0.444576475
TOMM5,518.0,0.441712708,107.0,0.271696,-0.071424803
TOMM6,1957.0,0.431553434,255.0,1.361152,-0.187834564
TOP2A,1003.0,0.364102812,159.0,0.37111,-0.179596479
TOR1A,3160.0,0.446121485,77.0,-1.144675,-0.490603522
TPD52L2,1600.0,0.385071878,138.0,0.677538,0.581243244
TPI1,620.0,0.479135356,527.0,1.222664,0.394546718
TPM1,757.0,0.403626605,257.0,0.97368,-0.382203418
TRAF1,7433.0,0.438949906,572.0,1.819907,0.977590814
TRAF3,5716.0,0.386659664,353.0,1.59493,0.98022976
TRAF6,6100.0,0.426668941,381.0,-0.453872,-0.17681028
TRAPPC3,634.0,0.441060625,519.0,1.043191,0.225186316
TRAPPC5,42.0,0.453352607,241.0,-0.056389,0.440427342
TRAPPC6B,2539.0,0.437369008,335.0,-0.11296,0.268520587
TRAPPC9,3079.0,0.431357199,134.0,0.811805,0.431381485
TRIM11,3522.0,0.453298916,255.0,-0.628787,0.220038499
TRIM13,5308.0,0.419190719,763.0,-0.368878,0.439402477
TRIM14,3117.0,0.369225689,165.0,1.317934,0.356269711
TRIM22,1215.0,0.424423711,379.0,-0.593339,-0.266123539
TRIM26,1431.0,0.384319522,565.0,-0.563862,-0.025922755
TRIM27,2956.0,0.441704825,359.0,0.546766,0.202207621
TRIM41,1657.0,0.454716896,737.0,-0.821954,0.100986671
TRIM5,2312.0,0.426412011,303.0,-1.508359,-0.569175633
TRIP12,3739.0,0.40441217,297.0,0.8216,0.100686894
TRIP13,2852.0,0.433721983,145.0,1.982609,0.496410569
TRMT5,3660.0,0.405137655,572.0,-0.264146,0.151152015
TRUB2,4655.0,0.434714666,759.0,-0.696649,0.000279911
TSFM,1390.0,0.429356434,57.0,-0.03379,0.005150353
TSPAN14,15147.0,0.398868986,305.0,0.591768,0.218672424
TSPYL1,7303.0,0.373212405,287.0,-1.056407,-0.102463941
TSR2,1366.0,0.464925113,443.0,-1.031062,-0.11047326
TTC39C,3394.0,0.378954091,452.0,0.722947,0.090179414
TTC7A,2213.0,0.393400181,1272.0,0.388724,0.866101541
TTPAL,5319.0,0.425556123,145.0,0.160197,0.208771626
TUBA1C,110.0,0.451729991,576.0,0.615451,0.385169279
TUBA4A,644.0,0.402818439,556.0,-0.982274,-0.222375723
TUBB,1030.0,0.390058461,509.0,0.755793,-0.331398397
TUBB6,2302.0,0.468445054,1139.0,-0.016172,-0.236545295
TUBGCP4,1934.0,0.368175973,296.0,-0.456075,0.452840498
TUSC1,1294.0,0.429789613,537.0,-2.991975,-0.022298699
TXNL4A,3129.0,0.472736328,466.0,0.757429,0.107840959
TYMP,18.0,0.429537249,376.0,1.54926,0.539564693
TYMS,581.0,0.364557025,159.0,2.062649,1.041075745
TYROBP,168.0,0.417048036,81.0,1.075449,1.34802319
UBAP2L,353.0,0.367068802,167.0,0.18915,0.089528447
UBE2B,4002.0,0.405496028,420.0,-0.708468,-0.501300548
UBE2E1,1034.0,0.417917446,229.0,0.623165,0.757548421
UBE2L3,2365.0,0.455573936,198.0,-0.485146,-0.216237716
UBE2L6,703.0,0.431638779,653.0,-0.063308,-0.447257654
UBE4B,1283.0,0.418913915,688.0,0.387628,0.080746114
UBIAD1,2303.0,0.446280173,334.0,-0.000919,-0.568651633
UBR4,797.0,0.387393976,4.0,0.152969,0.070367897
UBTF,2209.0,0.400105612,296.0,-0.898982,-0.406517389
UBXN1,220.0,0.422601268,194.0,-0.486456,0.015899314
UCK2,4043.0,0.447469338,640.0,1.453762,0.594708332
UGGT1,5935.0,0.374564832,178.0,0.395996,0.069787515
UHRF1BP1,5130.0,0.373569339,234.0,0.4993,0.051509611
UNC45A,377.0,0.475530537,1022.0,-0.002301,0.277183295
UNG,1024.0,0.368897526,209.0,0.746333,0.378158822
UNK,1388.0,0.447315534,42.0,-0.032093,-0.201093246
UQCR11,4379.0,0.470309826,75.0,0.23192,-0.264078181
UQCRC1,129.0,0.462829321,45.0,-0.550467,-0.514794581
UQCRH,193.0,0.365128489,320.0,0.842812,0.580159006
UROD,171.0,0.391539164,133.0,-0.042468,-0.00969023
UROS,3849.0,0.422413435,266.0,0.508932,0.231974711
USP18,580.0,0.434940763,338.0,-0.557657,-0.860546718
USP39,571.0,0.39295741,223.0,-0.02263,-0.080465348
UTP6,2466.0,0.429918331,83.0,0.152573,0.407708593
VAC14,489.0,0.396517204,827.0,1.399278,0.661870393
VAMP8,451.0,0.398153421,156.0,-0.369537,-0.361917569
VASP,824.0,0.388921088,342.0,0.20392,0.520710759
VAT1,1456.0,0.406330787,120.0,-1.125631,-0.124776993
VDAC3,475.0,0.440388181,210.0,-0.156875,-0.346520979
VGLL4,2489.0,0.432812067,506.0,1.042859,0.414498132
VIM,431.0,0.411136971,462.0,0.766757,0.045835197
VPS28,291.0,0.476756313,109.0,-0.318293,-0.335057742
VPS33B,559.0,0.447669729,583.0,0.63581,0.229660524
VPS39,2053.0,0.440628838,173.0,-0.697582,0.099074586
VPS52,2870.0,0.393546356,887.0,-0.207939,0.1529627
WASF2,4090.0,0.365213822,245.0,0.070899,-0.118694197
WBP2,1040.0,0.392225719,515.0,0.445102,0.145081873
WDFY2,7044.0,0.36603015,340.0,0.327967,0.01741388
WDR1,1039.0,0.393247178,368.0,-0.250006,0.084906436
WDR36,3619.0,0.40459335,117.0,-0.38358,0.387604046
WDR37,8068.0,0.365587877,173.0,1.085746,0.5421464
WDR4,293.0,0.380589271,581.0,1.459063,0.278345966
WDR47,1216.0,0.402106333,376.0,0.084797,0.169527413
WDR48,1924.0,0.419028298,472.0,-0.102306,0.01092479
WDR5,1979.0,0.401607191,171.0,0.408848,-0.156667275
WDR54,97.0,0.394793766,128.0,-1.002741,-0.422314691
WDR61,197.0,0.411764619,310.0,-0.022945,-0.262836426
WDR77,4184.0,0.412330102,139.0,0.456034,0.748812564
WDR91,4946.0,0.380864599,823.0,1.159694,0.177884593
WDR92,2520.0,0.427217839,117.0,-0.576301,-0.026087033
YTHDF1,1279.0,0.384821843,294.0,0.376779,0.30248002
YTHDF3,3082.0,0.406652071,509.0,0.028987,-0.001337571
YY1,5192.0,0.440120149,480.0,0.408823,-0.269529043
ZBED1,2221.0,0.457533868,282.0,-0.68565,-0.533307045
ZBTB8OS,1087.0,0.406816332,276.0,1.152671,0.638496009
ZC3H12A,768.0,0.421626239,1056.0,0.580451,0.241958448
ZC3H4,2169.0,0.436042942,38.0,-1.043585,-0.377458044
ZCCHC2,2006.0,0.404185753,0.0,-0.468657,0.027192198
ZFP36L1,2846.0,0.395541595,976.0,0.354544,0.476127137
ZMAT2,1942.0,0.460376067,101.0,-0.741083,-0.315543371
ZMIZ2,4165.0,0.419562196,128.0,1.236778,0.358350397
ZMYM3,1292.0,0.378831729,749.0,-0.312515,-0.111755174
ZNF207,13817.0,0.386696564,148.0,-0.099772,-0.544819347
ZNF414,113.0,0.422835658,118.0,0.775393,0.340195456
ZNF516,4816.0,0.393186692,318.0,-1.516925,-0.698880282
ZNF622,1298.0,0.463753859,120.0,-0.552133,-0.075010462
ZNHIT2,49.0,0.440612513,85.0,-2.22695,0.039450767
ZNHIT3,419.0,0.425204303,73.0,-0.816155,0.223726445
ZWINT,4585.0,0.411772707,37.0,0.055328,0.097607341
