,3prime,tAI,max_5_UTR_length,TCGA-AO-A0JL,TCGA-AO-A0JL.1
SLC25A3,504.0,0.383836987,354.0,-0.061588,-0.638417465
SLC25A6,450.0,0.487227384,137.0,0.440275,0.431353848
SLC27A3,163.0,0.439664345,91.0,-0.392041,-0.688759781
SLC39A10,2661.0,0.346494338,214.0,0.50302,0.58151986
SLC44A1,8291.0,0.4365497,264.0,-0.786609,-0.545263189
SLC9A3R1,709.0,0.400889529,235.0,-2.201449,-1.039065131
SMAP2,1225.0,0.404145004,415.0,-0.79965,-0.373488629
SMC1A,5954.0,0.490702048,340.0,-0.913849,-0.000439088
SMG5,1363.0,0.383248033,540.0,0.081374,0.211454134
SMS,2660.0,0.417677888,252.0,0.138086,-0.619397363
SMYD3,223.0,0.378821529,130.0,0.140076,0.211313502
SNRNP200,676.0,0.454045162,132.0,-0.930204,-0.173766335
SNRPC,474.0,0.427936125,450.0,1.257952,-0.211796938
SNRPD1,4386.0,0.384326147,161.0,2.092999,-0.011780205
SNRPN,279.0,0.390283395,1145.0,-0.101981,0.194707034
SNX24,5071.0,0.338464018,185.0,-1.566904,0.268500255
SNX30,6144.0,0.426743352,148.0,-1.704144,0.369066339
SNX33,5086.0,0.383330712,96.0,-0.741992,0.249568419
SOD1,353.0,0.438546885,148.0,1.052735,-0.172910339
SOD2,13436.0,0.435065133,1828.0,-0.292961,-0.173972672
SP110,3922.0,0.401738483,258.0,-1.918834,-0.709943195
SPC24,1691.0,0.381793277,320.0,-1.130175,0.479327728
SPC25,540.0,0.373816265,131.0,0.792327,0.338387222
SPCS1,3333.0,0.417439524,205.0,0.140037,0.122496749
SPI1,383.0,0.406748349,223.0,-0.718488,0.370737222
SPRYD4,1406.0,0.430591965,75.0,0.184287,0.083404688
SQSTM1,1485.0,0.412192979,360.0,-0.536768,-0.862717907
SRC,2671.0,0.437602812,449.0,0.322504,-0.040957667
SRGAP2,3018.0,0.377689891,542.0,0.397149,0.332896562
SRI,5365.0,0.424260151,79.0,0.180757,0.246047447
SRP19,2645.0,0.430943803,189.0,0.072527,0.229314321
SRPRB,1784.0,0.427990824,285.0,-0.04326,-0.55067907
SRR,1392.0,0.393840903,354.0,-1.132002,0.011150205
SRXN1,2099.0,0.37663928,185.0,-0.577255,-0.052494462
SS18L2,777.0,0.45997865,208.0,1.188293,0.050902658
SSH3,2595.0,0.376349937,178.0,-0.504924,-0.450257988
SSR2,592.0,0.425839932,80.0,1.669589,-0.006474881
SSR3,3698.0,0.388415977,156.0,-0.839862,-0.145299676
SSR4,87.0,0.444947593,150.0,1.684869,0.114223793
SSRP1,422.0,0.394601844,267.0,-1.064661,0.037925772
SSU72,400.0,0.445120823,325.0,0.392475,-0.200217181
ST13,3666.0,0.439823793,468.0,-0.584823,-0.161860725
ST14,553.0,0.454138745,193.0,0.217702,-0.061925816
STAP1,541.0,0.398288494,113.0,-0.054813027027027,-0.027720663
STARD10,1682.0,0.427301627,944.0,-0.902781,-1.185477264
STAT1,3294.0,0.408136156,388.0,-2.118348,-0.683483928
STAT2,1791.0,0.409862748,203.0,-1.29623,-0.334982572
STAT6,1168.0,0.380869476,499.0,0.239693,0.06251175
STMN1,1138.0,0.394107416,364.0,1.905374,0.138051522
STOM,2222.0,0.387137797,117.0,-0.516774,-0.388748614
STOML2,531.0,0.456962681,143.0,-0.200709,0.225337458
STX3,5058.0,0.403902965,547.0,-0.094924,0.104731184
STX7,14891.0,0.417568039,327.0,-0.621478,0.137844364
STX8,107.0,0.378438911,150.0,0.58345,0.675890442
SUCLG1,223.0,0.43877655,193.0,-0.732854,-0.122577844
SUFU,3380.0,0.361614756,191.0,-0.526527,-0.002931635
SUMF1,999.0,0.37076871,37.0,0.660812,0.963154385
SUPT4H1,1112.0,0.438747077,103.0,-0.812419,0.266959063
SURF2,1720.0,0.440503417,48.0,1.250778,-0.276004304
SURF4,2281.0,0.385472445,476.0,-0.78964,-0.217852266
SURF6,4908.0,0.42467207,78.0,0.246439,-0.274231999
SUV39H1,1669.0,0.463566826,266.0,0.723116,0.256187644
SYTL1,80.0,0.364244725,197.0,0.771143,-0.187697374
TACC3,165.0,0.385699108,155.0,1.491353,0.536660739
TAF12,689.0,0.435926756,522.0,0.321741,0.263809542
TAP2,5256.0,0.374969764,175.0,-0.292574,-0.936704808
TATDN2,2040.0,0.415810908,581.0,-0.97535,0.261477343
TBC1D20,3109.0,0.435441414,148.0,0.030377,0.413786954
TBC1D9B,1396.0,0.395340616,37.0,-0.651622,-0.175190214
TBCC,556.0,0.434161456,73.0,1.320418,0.212995679
TCEAL3,260.0,0.368171822,262.0,-0.426087,0.057615506
TCEAL4,3020.0,0.432120515,489.0,0.374598,0.273486088
TCOF1,1640.0,0.41523122,108.0,1.228085,0.189777351
TDP1,1721.0,0.418036689,317.0,-0.197781,0.348849137
TDRD7,242.0,0.375852104,234.0,-1.573982,-0.609328048
TDRKH,973.0,0.419795099,182.0,0.096835,0.638532042
TEP1,2777.0,0.379550228,40.0,0.16992,-0.409728024
TFEB,621.0,0.429366592,302.0,0.514023,0.358945006
THADA,112.0,0.415199561,352.0,-0.684682,-0.043939317
THUMPD1,2715.0,0.455087735,225.0,0.29559,0.081200755
THYN1,205.0,0.377954149,484.0,0.475965,0.098195493
TIMM50,3932.0,0.424829064,722.0,0.521072,-0.526900694
TIMM8B,2046.0,0.447942532,30.0,1.835531,1.170397416
TK2,3965.0,0.360054507,593.0,0.096424,0.289770227
TLE1,571.0,0.374791795,1295.0,-0.267751,-0.013410804
TM9SF2,2020.0,0.372522209,233.0,-2.305094,-0.668013129
TMED3,1710.0,0.439016102,188.0,0.26423,0.409883782
TMED9,708.0,0.44685712,67.0,0.141344,0.126357143
TMEM126A,52.0,0.406087664,295.0,-0.299774,-0.28608513
TMEM199,2431.0,0.370998168,90.0,0.053651,0.01182881
TMEM63A,1407.0,0.385482014,622.0,0.753162,-0.035582718
TMOD1,2050.0,0.392927141,213.0,0.987501,0.384438598
TMSB10,278.0,0.470652003,95.0,1.959691,-0.565335152
TNFAIP1,2409.0,0.451408648,449.0,-0.356459,0.309613085
TNFAIP2,2079.0,0.44214387,131.0,-1.038782,-0.971673557
TNFAIP3,1995.0,0.416242917,370.0,-0.930719,0.477906457
TNFAIP8L2,497.0,0.440670719,126.0,-0.655866,-0.502253747
TNIP1,770.0,0.448321216,241.0,-0.499739,-0.033160185
TNK2,822.0,0.420245651,543.0,0.38397,-0.066828589
TNPO2,2070.0,0.408799881,358.0,0.799106,-0.445991019
TNRC18,1316.0,0.449521205,349.0,0.128259,0.022405714
TOMM5,518.0,0.441712708,107.0,0.994782,1.029938649
TOP2A,1003.0,0.364102812,159.0,2.47206,1.15893276
TOR1A,3160.0,0.446121485,77.0,-0.264699,-0.090605912
TPD52L2,1600.0,0.385071878,138.0,0.318393,0.127785901
TPI1,620.0,0.479135356,527.0,0.18271,0.192123494
TPM1,757.0,0.403626605,257.0,-0.324739,0.86915075
TRAF1,7433.0,0.438949906,572.0,0.294509,0.179290283
TRAF3,5716.0,0.386659664,353.0,-1.120755,-0.255043478
TRAF6,6100.0,0.426668941,381.0,-0.809225,-0.117861134
TRAPPC3,634.0,0.441060625,519.0,-0.026052,-0.030516022
TRAPPC5,42.0,0.453352607,241.0,2.476308,0.328233826
TRAPPC6B,2539.0,0.437369008,335.0,-0.670556,0.006710558
TRAPPC9,3079.0,0.431357199,134.0,0.264454,-0.316473145
TRIM14,3117.0,0.369225689,165.0,-2.058699,-0.654092065
TRIM22,1215.0,0.424423711,379.0,-1.833746,-0.293627201
TRIM26,1431.0,0.384319522,565.0,-0.29082,-0.090712297
TRIM27,2956.0,0.441704825,359.0,0.780284,0.080745268
TRIM41,1657.0,0.454716896,737.0,-0.715894,0.194324301
TRIM5,2312.0,0.426412011,303.0,-0.114632,0.143017554
TRIP12,3739.0,0.40441217,297.0,-1.257951,-0.170732846
TRIP13,2852.0,0.433721983,145.0,1.230965,0.116940853
TRMT5,3660.0,0.405137655,572.0,-0.1373,0.098067192
TRUB2,4655.0,0.434714666,759.0,0.057261,0.843797455
TSFM,1390.0,0.429356434,57.0,0.540887,0.084111696
TSPYL1,7303.0,0.373212405,287.0,-1.303506,-0.940169947
TSR2,1366.0,0.464925113,443.0,-0.237548,-0.212340594
TTC39C,3394.0,0.378954091,452.0,-0.441394,0.107080576
TTC7A,2213.0,0.393400181,1272.0,-0.238328,0.250902621
TTPAL,5319.0,0.425556123,145.0,0.460414,0.478655593
TUBA1C,110.0,0.451729991,576.0,0.848408,0.004331781
TUBA4A,644.0,0.402818439,556.0,-0.330804,-0.425136534
TUBB,1030.0,0.390058461,509.0,0.887087,0.155938121
TUBB6,2302.0,0.468445054,1139.0,2.101721,0.927973017
TUBGCP4,1934.0,0.368175973,296.0,-1.046688,-0.351096501
TUSC1,1294.0,0.429789613,537.0,1.406852,0.199155014
TXNL4A,3129.0,0.472736328,466.0,1.284303,-0.069680455
TYMP,18.0,0.429537249,376.0,-0.796345,-0.388009062
TYMS,581.0,0.364557025,159.0,1.330895,0.9599005
TYROBP,168.0,0.417048036,81.0,-0.192228,-0.165761669
UBAP2L,353.0,0.367068802,167.0,0.668877,0.058430131
UBE2B,4002.0,0.405496028,420.0,0.046957,-0.032580991
UBE2E1,1034.0,0.417917446,229.0,0.412534,1.135293892
UBE2L3,2365.0,0.455573936,198.0,0.117063,-0.356334446
UBE2L6,703.0,0.431638779,653.0,-1.436273,-0.917831111
UBE4B,1283.0,0.418913915,688.0,-0.478477,0.221266821
UBIAD1,2303.0,0.446280173,334.0,-0.961569,-0.475061785
UBR4,797.0,0.387393976,4.0,-1.592953,-0.233410344
UBTF,2209.0,0.400105612,296.0,-0.836864,-0.24013284
UBXN1,220.0,0.422601268,194.0,0.130865,-0.394772679
UCK2,4043.0,0.447469338,640.0,1.286538,0.388727911
UGGT1,5935.0,0.374564832,178.0,-0.228562,0.184678351
UHRF1BP1,5130.0,0.373569339,234.0,-0.869955,-0.1506961
UNC45A,377.0,0.475530537,1022.0,-0.658603,-0.261854933
UNG,1024.0,0.368897526,209.0,0.364387,0.446443577
UNK,1388.0,0.447315534,42.0,-0.497201,-0.392649884
UQCR11,4379.0,0.470309826,75.0,1.452445,0.493696603
UQCRC1,129.0,0.462829321,45.0,0.003415,0.606878598
UQCRH,193.0,0.365128489,320.0,0.81601,0.79081196
UROD,171.0,0.391539164,133.0,0.290369,-0.014200033
UROS,3849.0,0.422413435,266.0,-0.306433,-0.011108208
USP18,580.0,0.434940763,338.0,-1.485269,-0.909677359
USP39,571.0,0.39295741,223.0,-0.71552,-0.451266942
UTP6,2466.0,0.429918331,83.0,0.310058,0.214467245
VAC14,489.0,0.396517204,827.0,0.215694,0.059380188
VAMP8,451.0,0.398153421,156.0,-0.735647,-0.732750166
VASP,824.0,0.388921088,342.0,0.557814,0.220474568
VAT1,1456.0,0.406330787,120.0,-0.833009,-0.485769677
VDAC3,475.0,0.440388181,210.0,1.457258,0.82473819
VGLL4,2489.0,0.432812067,506.0,-0.593147,0.064270204
VIM,431.0,0.411136971,462.0,0.384344,0.414024187
VPS28,291.0,0.476756313,109.0,1.39373,-0.487545082
VPS33B,559.0,0.447669729,583.0,-0.759001,-0.12149907
VPS39,2053.0,0.440628838,173.0,-0.727456,0.032420136
VPS52,2870.0,0.393546356,887.0,-0.407166,-0.162354856
WASF2,4090.0,0.365213822,245.0,-0.235155,0.12007147
WBP2,1040.0,0.392225719,515.0,0.024854,-0.188817247
WDFY2,7044.0,0.36603015,340.0,-0.050189,0.055188482
WDR1,1039.0,0.393247178,368.0,-1.014651,-0.163119295
WDR36,3619.0,0.40459335,117.0,-0.616411,0.059627717
WDR37,8068.0,0.365587877,173.0,-0.309819,-0.183185136
WDR4,293.0,0.380589271,581.0,0.398444,0.43385532
WDR47,1216.0,0.402106333,376.0,-1.109673,-0.213715341
WDR48,1924.0,0.419028298,472.0,-0.443076,0.023293798
WDR5,1979.0,0.401607191,171.0,-0.06561,0.130953071
WDR54,97.0,0.394793766,128.0,-1.452068,-1.376385783
WDR61,197.0,0.411764619,310.0,-1.185003,-0.221225699
WDR77,4184.0,0.412330102,139.0,1.310374,-0.311092386
WDR91,4946.0,0.380864599,823.0,0.143346,-0.009267989
WDR92,2520.0,0.427217839,117.0,-0.967168,-0.069898677
YTHDF1,1279.0,0.384821843,294.0,0.165913,-0.053217003
YTHDF3,3082.0,0.406652071,509.0,0.937797,0.519924846
YY1,5192.0,0.440120149,480.0,0.042153,0.005461306
ZBED1,2221.0,0.457533868,282.0,-0.783835,0.098444666
ZBTB8OS,1087.0,0.406816332,276.0,0.846693,-0.23819131
ZC3H12A,768.0,0.421626239,1056.0,-1.2208,0.126747087
ZC3H4,2169.0,0.436042942,38.0,0.098159,-0.066341595
ZFP36L1,2846.0,0.395541595,976.0,-0.427774,0.224330854
ZMAT2,1942.0,0.460376067,101.0,-1.13639,-0.009739574
ZMIZ2,4165.0,0.419562196,128.0,0.797133,-1.12458892
ZMYM3,1292.0,0.378831729,749.0,0.231636,0.195747337
ZNF207,13817.0,0.386696564,148.0,0.290585,-0.241664354
ZNF511,243.0,0.452392726,55.0,0.708062,0.302204517
ZNF516,4816.0,0.393186692,318.0,-3.007327,-0.381712907
ZNF622,1298.0,0.463753859,120.0,-0.825926,-0.035482693
ZNHIT2,49.0,0.440612513,85.0,0.969802,-0.106437466
ZWINT,4585.0,0.411772707,37.0,0.129423,0.18630263
