,3prime,tAI,max_5_UTR_length,TCGA-AO-A12B,TCGA-AO-A12B.1
SDCCAG8,307.0,0.360606297,1542.0,0.508243,-0.10527601
SEC11C,205.0,0.423646802,92.0,2.952188,0.436353619
SEC13,332.0,0.457264526,210.0,-0.11956,0.329039826
SEC14L1,2986.0,0.420320088,665.0,-0.933179,-0.011500158
SEC22A,2559.0,0.422343815,79.0,-0.541361,-0.087388242
SEC24B,1221.0,0.400931805,155.0,-0.397556,0.365749126
SEC24D,2115.0,0.386600041,297.0,0.584894,0.539203142
SEC61B,270.0,0.404562259,76.0,1.054119,-0.685741131
SEMA3F,960.0,0.38837398,318.0,0.504037,0.795332391
SEMA4A,755.0,0.412797256,345.0,0.81635,-0.389431234
SEMA4D,2318.0,0.393173667,572.0,-1.277213,-0.229450077
SERPINA1,1707.0,0.420489385,573.0,6.342415,-0.278028333
SERPINB8,2096.0,0.38524815,520.0,-1.622471,0.01270626
SETMAR,321.0,0.414235412,398.0,-0.176163,0.036608858
SEZ6L2,540.0,0.431800162,245.0,1.801449,0.842411465
SF1,2419.0,0.374481437,721.0,-0.07247,0.256009359
SF3B2,563.0,0.453902675,40.0,0.171679,0.154032576
SFXN4,500.0,0.402513841,45.0,0.521976,-0.022717579
SH3BP1,433.0,0.395530944,313.0,-1.666376,-0.476649442
SH3PXD2B,4870.0,0.420952884,171.0,-0.796547,-0.263042538
SHMT1,4335.0,0.394510245,509.0,0.317138,0.673581816
SIGLEC1,1590.0,0.42099348,0.0,-0.354505,-0.113404524
SIPA1,2933.0,0.437718847,296.0,0.311155,-0.14027984
SIRPA,3027.0,0.429235057,360.0,-0.534724,-0.610946439
SKP1,8791.0,0.433886974,179.0,0.86062,0.402260306
SLBP,3046.0,0.391438372,553.0,-0.477527,-0.390058328
SLC25A10,1929.0,0.386184273,191.0,0.648201,0.121897861
SLC25A19,477.0,0.386093473,224.0,-0.094223,-0.743017335
SLC25A20,787.0,0.382641976,199.0,1.274588,0.234765409
SLC25A3,504.0,0.383836987,354.0,-0.232073,-0.866533004
SLC25A40,2688.0,0.363984785,375.0,0.122223,0.033700123
SLC25A42,2156.0,0.366871382,156.0,0.431615,0.036746294
SLC25A6,450.0,0.487227384,137.0,0.075473,-0.857900384
SLC27A3,163.0,0.439664345,91.0,1.120065,-0.160536344
SLC29A1,2913.0,0.455987116,491.0,0.660678,-0.44816704
SLC39A10,2661.0,0.346494338,214.0,-0.554683,-0.266617099
SLC43A2,6357.0,0.437839378,341.0,-0.290322,-0.760307781
SLC43A3,838.0,0.382351997,447.0,-0.874542,-0.774253684
SLC44A1,8291.0,0.4365497,264.0,-0.319737,-0.628140884
SLC9A3R1,709.0,0.400889529,235.0,1.654873,0.954101801
SMAP2,1225.0,0.404145004,415.0,-0.366692,-0.023469203
SMC1A,5954.0,0.490702048,340.0,-0.460808,0.179078602
SMG5,1363.0,0.383248033,540.0,-0.083021,0.414782927
SMS,2660.0,0.417677888,252.0,-1.464163,-0.642113055
SMYD3,223.0,0.378821529,130.0,0.448597,0.564786097
SNRNP200,676.0,0.454045162,132.0,-0.853848,-0.037473669
SNRPC,474.0,0.427936125,450.0,0.011103,0.163206611
SNRPD1,4386.0,0.384326147,161.0,-0.308135,0.157482648
SNRPN,279.0,0.390283395,1145.0,-0.090668,-0.099100662
SNX24,5071.0,0.338464018,185.0,1.615418,0.41106021
SNX30,6144.0,0.426743352,148.0,0.620101,0.57973634
SNX33,5086.0,0.383330712,96.0,-0.486135,0.076539602
SOD1,353.0,0.438546885,148.0,0.769637,0.202230136
SOD2,13436.0,0.435065133,1828.0,-0.669171,-0.276439395
SP110,3922.0,0.401738483,258.0,-0.07345,-0.392995941
SPC24,1691.0,0.381793277,320.0,0.866508,-0.470259626
SPC25,540.0,0.373816265,131.0,-0.239383,-0.12070026
SPCS1,3333.0,0.417439524,205.0,0.998651,-0.638622325
SPI1,383.0,0.406748349,223.0,-0.663877,-0.098237707
SPRYD4,1406.0,0.430591965,75.0,0.71383,1.029997996
SQSTM1,1485.0,0.412192979,360.0,1.352252,1.098794757
SRC,2671.0,0.437602812,449.0,-1.219773,-0.333150688
SRGAP2,3018.0,0.377689891,542.0,-2.447432,-0.571964628
SRI,5365.0,0.424260151,79.0,-0.728313,-0.2848167
SRP19,2645.0,0.430943803,189.0,0.813824,0.310470878
SRPRB,1784.0,0.427990824,285.0,-0.072107,-0.810026838
SRR,1392.0,0.393840903,354.0,0.766226,0.800916622
SRXN1,2099.0,0.37663928,185.0,0.044783,0.286423322
SS18L2,777.0,0.45997865,208.0,0.377568,-0.088999139
SSH1,5298.0,0.373517564,146.0,-1.498024,-0.513072506
SSH3,2595.0,0.376349937,178.0,0.718304,0.669620267
SSR2,592.0,0.425839932,80.0,1.407725,-0.301886596
SSR3,3698.0,0.388415977,156.0,0.732467,-1.402788113
SSR4,87.0,0.444947593,150.0,0.794793,0.045342203
SSRP1,422.0,0.394601844,267.0,0.023953,-0.39280483
SSU72,400.0,0.445120823,325.0,-0.128091,0.303039348
ST13,3666.0,0.439823793,468.0,0.976677,0.779069691
ST14,553.0,0.454138745,193.0,0.722852,0.540086
ST3GAL4,594.0,0.39537481,557.0,-0.884211,-0.294720807
STAP1,541.0,0.398288494,113.0,-1.572841,-0.133810444
STARD10,1682.0,0.427301627,944.0,1.207942,1.021965743
STAT1,3294.0,0.408136156,388.0,0.4774,-0.000719359
STAT2,1791.0,0.409862748,203.0,-0.294624,-0.055296134
STAT6,1168.0,0.380869476,499.0,-0.593977,-0.213748158
STMN1,1138.0,0.394107416,364.0,0.377265,-0.631470461
STOM,2222.0,0.387137797,117.0,-1.608223,-1.146080393
STOML2,531.0,0.456962681,143.0,-0.123541,0.486819008
STX11,4481.0,0.457080677,192.0,-0.258712,-0.33887155
STX3,5058.0,0.403902965,547.0,0.417612,-0.25601248
STX7,14891.0,0.417568039,327.0,-0.526238,-0.902738593
STX8,107.0,0.378438911,150.0,0.857059,-0.328421085
SUCLG1,223.0,0.43877655,193.0,-0.223476,0.572746541
SUFU,3380.0,0.361614756,191.0,-0.348783,0.221477186
SUMF1,999.0,0.37076871,37.0,-0.286841,0.044852394
SUPT4H1,1112.0,0.438747077,103.0,-0.105109,0.317768932
SURF2,1720.0,0.440503417,48.0,0.424896,-0.024079844
SURF4,2281.0,0.385472445,476.0,0.192814,-0.25196494
SURF6,4908.0,0.42467207,78.0,-0.194536,-0.137642259
SYTL1,80.0,0.364244725,197.0,1.70378,1.228476266
TACC3,165.0,0.385699108,155.0,-0.556092,-0.353394445
TADA2B,3064.0,0.464060586,151.0,0.325543,0.603610904
TAF12,689.0,0.435926756,522.0,0.015181,-0.428169443
TAP2,5256.0,0.374969764,175.0,-0.337837,-0.875984517
TATDN2,2040.0,0.415810908,581.0,-0.304891,-0.129446302
TBC1D20,3109.0,0.435441414,148.0,-0.186935,-0.086932597
TBC1D9B,1396.0,0.395340616,37.0,1.006582,0.921985235
TBCC,556.0,0.434161456,73.0,-0.17771,0.299060809
TCEAL3,260.0,0.368171822,262.0,0.41654,0.080636723
TCEAL4,3020.0,0.432120515,489.0,-0.56746,-0.561834154
TCOF1,1640.0,0.41523122,108.0,-0.586901,-0.546670711
TDP1,1721.0,0.418036689,317.0,-0.778238,-0.006919059
TDRD7,242.0,0.375852104,234.0,0.534064,0.311423631
TDRKH,973.0,0.419795099,182.0,0.123671,-0.097613513
TEP1,2777.0,0.379550228,40.0,-1.550136,-0.180255868
TFE3,1431.0,0.379068139,541.0,-0.830013,-0.561381668
TFEB,621.0,0.429366592,302.0,-0.672864,-0.244092003
THADA,112.0,0.415199561,352.0,-0.20409,-0.167451126
THBD,2144.0,0.448063145,160.0,-1.264319,-0.866136537
THUMPD1,2715.0,0.455087735,225.0,0.188517,0.231378603
THYN1,205.0,0.377954149,484.0,0.571866,0.357517179
TIMM50,3932.0,0.424829064,722.0,-0.073596,0.450835018
TIMM8B,2046.0,0.447942532,30.0,0.70916,-0.218640044
TK2,3965.0,0.360054507,593.0,0.430358,0.629064086
TLE1,571.0,0.374791795,1295.0,-0.722876,0.077749933
TM9SF2,2020.0,0.372522209,233.0,0.391213,0.025790305
TMED3,1710.0,0.439016102,188.0,0.432991,-0.206612069
TMED9,708.0,0.44685712,67.0,1.078018,-0.520076492
TMEM126A,52.0,0.406087664,295.0,1.089597,-0.028851978
TMEM199,2431.0,0.370998168,90.0,0.072662,-0.329290413
TMEM63A,1407.0,0.385482014,622.0,-0.152127,-0.279652975
TMOD1,2050.0,0.392927141,213.0,-0.692497,-0.447145231
TMSB10,278.0,0.470652003,95.0,-1.879079,-0.856138158
TNFAIP1,2409.0,0.451408648,449.0,-0.944918,-0.064104328
TNFAIP2,2079.0,0.44214387,131.0,-0.387394,-0.153562302
TNFAIP3,1995.0,0.416242917,370.0,-1.229646,-0.37523688
TNFAIP8L2,497.0,0.440670719,126.0,-0.65555,-0.24001673
TNIP1,770.0,0.448321216,241.0,0.199325,-0.16192318
TNK2,822.0,0.420245651,543.0,0.470645,0.169162563
TNPO2,2070.0,0.408799881,358.0,-0.079076,0.025628827
TNRC18,1316.0,0.449521205,349.0,-0.255359,0.006766858
TOMM5,518.0,0.441712708,107.0,-0.194144,-0.54922659
TOMM6,1957.0,0.431553434,255.0,0.712146,-0.753240473
TOP2A,1003.0,0.364102812,159.0,0.136236,-0.863487134
TOR1A,3160.0,0.446121485,77.0,-0.360731,-0.15925865
TPD52L2,1600.0,0.385071878,138.0,-0.220212,0.294924688
TPI1,620.0,0.479135356,527.0,0.095827,-0.019382686
TPM1,757.0,0.403626605,257.0,0.070063,-0.716519591
TRAF1,7433.0,0.438949906,572.0,-2.090348,-0.381838561
TRAF3,5716.0,0.386659664,353.0,-0.387311,0.609075874
TRAF6,6100.0,0.426668941,381.0,-0.600891,-0.00350848
TRAPPC3,634.0,0.441060625,519.0,0.172387,0.352221544
TRAPPC5,42.0,0.453352607,241.0,0.051473,-0.489335551
TRAPPC6B,2539.0,0.437369008,335.0,-0.38781,0.176373163
TRAPPC9,3079.0,0.431357199,134.0,-0.350078,0.207806607
TRIM11,3522.0,0.453298916,255.0,-0.495588,-0.277324077
TRIM13,5308.0,0.419190719,763.0,0.18746,-0.665121108
TRIM14,3117.0,0.369225689,165.0,0.703728,1.37192146
TRIM22,1215.0,0.424423711,379.0,-0.545639,0.10318242
TRIM26,1431.0,0.384319522,565.0,-0.317136,0.080117492
TRIM27,2956.0,0.441704825,359.0,0.288049,0.166683948
TRIM41,1657.0,0.454716896,737.0,0.978619,-0.232130252
TRIM5,2312.0,0.426412011,303.0,-0.37176,-0.335452784
TRIP12,3739.0,0.40441217,297.0,-0.144239,-0.304609964
TRIP13,2852.0,0.433721983,145.0,-0.760837,-0.555809468
TRMT5,3660.0,0.405137655,572.0,-0.289879,0.027173622
TRUB2,4655.0,0.434714666,759.0,0.244008,0.447557194
TSFM,1390.0,0.429356434,57.0,0.136381,0.405048214
TSPAN14,15147.0,0.398868986,305.0,-0.783706,-1.041385863
TSPYL1,7303.0,0.373212405,287.0,0.714061,0.15997991
TSR2,1366.0,0.464925113,443.0,-0.612957,-0.544290189
TTC39C,3394.0,0.378954091,452.0,1.560753,0.558408486
TTC7A,2213.0,0.393400181,1272.0,-0.15568,0.179351702
TTPAL,5319.0,0.425556123,145.0,-1.032869,-0.00415311
TTYH3,3063.0,0.383645273,187.0,-1.457787,-0.48834339
TUBA1C,110.0,0.451729991,576.0,-0.709273,0.203889367
TUBA4A,644.0,0.402818439,556.0,0.781636,0.780332466
TUBB,1030.0,0.390058461,509.0,-0.210532,0.128925094
TUBB6,2302.0,0.468445054,1139.0,0.208716,0.152167651
TUBGCP4,1934.0,0.368175973,296.0,-0.985012,0.165548274
TUSC1,1294.0,0.429789613,537.0,-0.326657,0.959079655
TXNL4A,3129.0,0.472736328,466.0,0.25508,0.170829978
TYMP,18.0,0.429537249,376.0,1.201507,0.675946734
TYMS,581.0,0.364557025,159.0,0.115868,-0.04411695
TYROBP,168.0,0.417048036,81.0,-0.968191,-0.859106464
UBAP2L,353.0,0.367068802,167.0,-0.348715,0.070207486
UBE2B,4002.0,0.405496028,420.0,0.516364,0.62507246
UBE2E1,1034.0,0.417917446,229.0,0.270101,-0.137153395
UBE2E2,1962.0,0.352966355,180.0,-1.912133,-0.841784531
UBE2L3,2365.0,0.455573936,198.0,0.257297,0.556449771
UBE2L6,703.0,0.431638779,653.0,0.497082,0.57212423
UBE4B,1283.0,0.418913915,688.0,-0.563548,-0.088869917
UBIAD1,2303.0,0.446280173,334.0,0.963305,-0.269345086
UBR4,797.0,0.387393976,4.0,-0.900252,-0.343868169
UBTF,2209.0,0.400105612,296.0,0.235186,-0.219144307
UBXN1,220.0,0.422601268,194.0,0.037398,-0.020144423
UCK2,4043.0,0.447469338,640.0,-0.982125,-0.385387585
UGGT1,5935.0,0.374564832,178.0,-0.212244,0.134866029
UHRF1BP1,5130.0,0.373569339,234.0,-0.042904,0.478650085
UNC45A,377.0,0.475530537,1022.0,0.092223,0.218234141
UNG,1024.0,0.368897526,209.0,-0.62632,-0.086095413
UNK,1388.0,0.447315534,42.0,0.080954,0.085834753
UQCR11,4379.0,0.470309826,75.0,0.73412,0.95152836
UQCRC1,129.0,0.462829321,45.0,0.369895,0.920519219
UQCRH,193.0,0.365128489,320.0,-0.131683,0.232805724
UROD,171.0,0.391539164,133.0,0.057448,0.20853615
UROS,3849.0,0.422413435,266.0,-0.5469,0.024451599
USP18,580.0,0.434940763,338.0,1.507705,0.819772049
USP39,571.0,0.39295741,223.0,-0.290007,-0.227414361
UTP6,2466.0,0.429918331,83.0,0.023443,-0.33641119
VAC14,489.0,0.396517204,827.0,-1.122503,-0.334872023
VAMP8,451.0,0.398153421,156.0,-0.015182,-0.768171708
VASP,824.0,0.388921088,342.0,-0.52721,-0.333514493
VAT1,1456.0,0.406330787,120.0,0.294693,0.1650003
VDAC3,475.0,0.440388181,210.0,0.526833,0.397345925
VDR,3209.0,0.450036866,401.0,-0.37144,-0.213401122
VGLL4,2489.0,0.432812067,506.0,-0.497351,-0.675499373
VIM,431.0,0.411136971,462.0,-1.967922,-0.817819187
VLDLR,6202.0,0.388727284,416.0,-0.917489,-0.411517128
VPS28,291.0,0.476756313,109.0,0.970849,0.288948234
VPS33B,559.0,0.447669729,583.0,-1.495605,-0.375211003
VPS39,2053.0,0.440628838,173.0,-0.416226,0.239343205
VPS52,2870.0,0.393546356,887.0,0.436203,0.280606348
WASF2,4090.0,0.365213822,245.0,-0.112901,0.195009714
WBP2,1040.0,0.392225719,515.0,0.367481,0.315208868
WDFY2,7044.0,0.36603015,340.0,-1.598861,-0.446024207
WDR1,1039.0,0.393247178,368.0,-1.236298,-0.38566022
WDR36,3619.0,0.40459335,117.0,-0.379623,-0.261637147
WDR37,8068.0,0.365587877,173.0,-0.335895,0.132111125
WDR4,293.0,0.380589271,581.0,-0.451112,-0.100719555
WDR47,1216.0,0.402106333,376.0,0.188294,0.36772637
WDR48,1924.0,0.419028298,472.0,-0.794452,0.116982703
WDR5,1979.0,0.401607191,171.0,-0.270746,0.01407037
WDR54,97.0,0.394793766,128.0,0.426518,0.770605131
WDR61,197.0,0.411764619,310.0,0.251472,0.55865798
WDR77,4184.0,0.412330102,139.0,-0.281296,0.360917271
WDR91,4946.0,0.380864599,823.0,-1.368421,-0.105592189
WDR92,2520.0,0.427217839,117.0,-0.352887,0.250448087
YTHDF1,1279.0,0.384821843,294.0,-0.505492,-0.191695589
YTHDF3,3082.0,0.406652071,509.0,-0.465872,0.009502536
YY1,5192.0,0.440120149,480.0,-0.431025,-0.232353989
ZBED1,2221.0,0.457533868,282.0,-0.214308,0.235750261
ZBTB8OS,1087.0,0.406816332,276.0,0.711885,0.04944052
ZC3H12A,768.0,0.421626239,1056.0,-2.001411,-0.310260363
ZC3H4,2169.0,0.436042942,38.0,-0.156289,0.023955303
ZCCHC10,81.0,0.361883573,67.0,0.735136,0.558282055
ZCCHC2,2006.0,0.404185753,0.0,-1.059812,-0.021868775
ZFP36L1,2846.0,0.395541595,976.0,-2.638927,-0.771573172
ZMAT2,1942.0,0.460376067,101.0,0.326902,-0.105431067
ZMIZ2,4165.0,0.419562196,128.0,-0.41259,0.361776859
ZMYM3,1292.0,0.378831729,749.0,-0.556809,-0.197750231
ZNF207,13817.0,0.386696564,148.0,-0.119521,0.218336801
ZNF414,113.0,0.422835658,118.0,0.748991,-0.094748685
ZNF511,243.0,0.452392726,55.0,-0.066236,0.200455857
ZNF516,4816.0,0.393186692,318.0,-0.097059,-0.003354709
ZNF622,1298.0,0.463753859,120.0,0.34033,0.084405563
ZNHIT2,49.0,0.440612513,85.0,1.302731,0.314001634
ZNHIT3,419.0,0.425204303,73.0,0.357452,-0.325784717
ZWINT,4585.0,0.411772707,37.0,-0.318859,-0.752641922
