,3prime,tAI,max_5_UTR_length,TCGA-A2-A0D2,TCGA-A2-A0D2.1
SEC24D,2115.0,0.386600041,297.0,-0.195043,0.231964507
SEC61B,270.0,0.404562259,76.0,0.73489,-0.312283373
SEMA3F,960.0,0.38837398,318.0,-1.597994,-0.546758137
SEMA4A,755.0,0.412797256,345.0,0.539227,0.065454775
SEMA4D,2318.0,0.393173667,572.0,1.04071,0.326664021
SERPINA1,1707.0,0.420489385,573.0,-0.80655,-0.096738356
SERPINB8,2096.0,0.38524815,520.0,1.711827,0.76575008
SETMAR,321.0,0.414235412,398.0,-1.349848,-0.183761097
SF1,2419.0,0.374481437,721.0,0.470527,0.147905733
SF3B2,563.0,0.453902675,40.0,1.110175,0.084527484
SFXN4,500.0,0.402513841,45.0,0.389616,-0.192004217
SH3BP1,433.0,0.395530944,313.0,2.036485,0.444681659
SH3PXD2B,4870.0,0.420952884,171.0,1.392839,0.659042443
SHMT1,4335.0,0.394510245,509.0,1.255407,0.485245418
SIGLEC1,1590.0,0.42099348,0.0,0.293296,0.006047394
SIPA1,2933.0,0.437718847,296.0,-0.401774,0.132248344
SIRPA,3027.0,0.429235057,360.0,0.296518,0.257454507
SKP1,8791.0,0.433886974,179.0,-0.879203,-0.180808107
SLBP,3046.0,0.391438372,553.0,0.398161,0.213320176
SLC25A10,1929.0,0.386184273,191.0,0.222126,-0.121165749
SLC25A19,477.0,0.386093473,224.0,0.937323,-0.19430222
SLC25A20,787.0,0.382641976,199.0,-1.424449,-0.400581539
SLC25A3,504.0,0.383836987,354.0,0.47666,-0.39667626
SLC25A40,2688.0,0.363984785,375.0,-0.516302,0.030188725
SLC25A42,2156.0,0.366871382,156.0,0.278476,-0.134847605
SLC25A6,450.0,0.487227384,137.0,0.821618,0.187899935
SLC27A3,163.0,0.439664345,91.0,-1.513618,-0.500830961
SLC39A10,2661.0,0.346494338,214.0,-0.795546,0.185117535
SLC43A2,6357.0,0.437839378,341.0,1.704576,0.25086347
SLC43A3,838.0,0.382351997,447.0,2.917569,1.28066881
SLC44A1,8291.0,0.4365497,264.0,0.167285,-0.057519679
SLC9A3R1,709.0,0.400889529,235.0,-1.411266,-0.962321151
SMAP2,1225.0,0.404145004,415.0,0.527573,-0.193901479
SMC1A,5954.0,0.490702048,340.0,1.197319,0.239051586
SMG5,1363.0,0.383248033,540.0,1.724333,0.396893793
SMS,2660.0,0.417677888,252.0,1.180294,0.219153019
SMYD3,223.0,0.378821529,130.0,-0.10464,-0.265981964
SNRNP200,676.0,0.454045162,132.0,-0.115683,0.06722309
SNRPC,474.0,0.427936125,450.0,1.169545,-0.217816887
SNRPD1,4386.0,0.384326147,161.0,0.719515,0.241883609
SNRPN,279.0,0.390283395,1145.0,0.433047,0.326055378
SNX24,5071.0,0.338464018,185.0,-0.038671,0.288543239
SNX30,6144.0,0.426743352,148.0,0.683967,0.076978632
SNX33,5086.0,0.383330712,96.0,0.58131,0.530316982
SOD1,353.0,0.438546885,148.0,0.517203,-0.57511445
SOD2,13436.0,0.435065133,1828.0,1.201719,0.835711414
SP110,3922.0,0.401738483,258.0,-1.177614,-0.495188334
SPC24,1691.0,0.381793277,320.0,2.583034,0.498738802
SPC25,540.0,0.373816265,131.0,1.696209,0.878894656
SPCS1,3333.0,0.417439524,205.0,-0.750386,-0.190631638
SPI1,383.0,0.406748349,223.0,0.387575,0.416632503
SPRYD4,1406.0,0.430591965,75.0,-0.729529,-0.542649308
SQSTM1,1485.0,0.412192979,360.0,-0.33012,-0.431351824
SRC,2671.0,0.437602812,449.0,1.690634,0.880549035
SRGAP2,3018.0,0.377689891,542.0,1.005219,0.650093837
SRI,5365.0,0.424260151,79.0,-0.018504,-0.16022225
SRP19,2645.0,0.430943803,189.0,-0.055046,-0.054514444
SRPRB,1784.0,0.427990824,285.0,-0.297762,0.049323317
SRR,1392.0,0.393840903,354.0,0.469476,0.547248199
SRXN1,2099.0,0.37663928,185.0,-0.600532,-0.235587196
SS18L2,777.0,0.45997865,208.0,-0.018503,0.060433651
SSH1,5298.0,0.373517564,146.0,0.053115,0.165255666
SSH3,2595.0,0.376349937,178.0,-1.226633,-0.642787321
SSR2,592.0,0.425839932,80.0,0.154661,0.272194414
SSR3,3698.0,0.388415977,156.0,0.014607,-0.948770348
SSR4,87.0,0.444947593,150.0,-0.418377,0.089814641
SSRP1,422.0,0.394601844,267.0,2.113607,0.600351313
SSU72,400.0,0.445120823,325.0,0.588943,0.002800296
ST13,3666.0,0.439823793,468.0,-0.28333,-0.279521496
ST14,553.0,0.454138745,193.0,2.009543,0.49684719
ST3GAL4,594.0,0.39537481,557.0,2.47125,1.056918846
STAP1,541.0,0.398288494,113.0,0.980205,-0.18764445
STARD10,1682.0,0.427301627,944.0,0.183133,-0.808125902
STAT1,3294.0,0.408136156,388.0,-0.686549,-0.133130427
STAT2,1791.0,0.409862748,203.0,-0.584219,0.098629359
STAT6,1168.0,0.380869476,499.0,-1.271397,-0.128317493
STMN1,1138.0,0.394107416,364.0,1.696205,0.05561413
STOM,2222.0,0.387137797,117.0,-0.308156,0.16451206
STOML2,531.0,0.456962681,143.0,0.637773,-0.215225249
STX11,4481.0,0.457080677,192.0,-0.259349,0.585325233
STX3,5058.0,0.403902965,547.0,1.378044,-0.285663378
STX7,14891.0,0.417568039,327.0,-0.296597,-0.131296861
STX8,107.0,0.378438911,150.0,-0.524451,-0.083305774
SUCLG1,223.0,0.43877655,193.0,0.420154,-0.343791641
SUFU,3380.0,0.361614756,191.0,-0.321261,-0.178665837
SUMF1,999.0,0.37076871,37.0,-2.46281,-0.451593229
SUPT4H1,1112.0,0.438747077,103.0,-0.053764,0.731683857
SURF2,1720.0,0.440503417,48.0,0.480423,-0.158540731
SURF4,2281.0,0.385472445,476.0,0.445305,0.687241872
SURF6,4908.0,0.42467207,78.0,0.192233,0.17820942
SYTL1,80.0,0.364244725,197.0,-0.926306,-0.462814926
TACC3,165.0,0.385699108,155.0,1.633338,0.29956905
TADA2B,3064.0,0.464060586,151.0,-0.865369,-0.119457405
TAF12,689.0,0.435926756,522.0,-0.436586,-0.277534281
TAP2,5256.0,0.374969764,175.0,0.754425,-0.513400815
TBC1D20,3109.0,0.435441414,148.0,-0.49803,-0.324238
TBC1D9B,1396.0,0.395340616,37.0,-0.220523,-0.064683615
TBCC,556.0,0.434161456,73.0,0.034075,0.164751833
TCEAL3,260.0,0.368171822,262.0,-0.349351,-1.290195016
TCEAL4,3020.0,0.432120515,489.0,-0.608237,-1.318507186
TCOF1,1640.0,0.41523122,108.0,1.148523,-0.094477464
TDP1,1721.0,0.418036689,317.0,0.628211,0.06518564
TDRD7,242.0,0.375852104,234.0,-0.134171,0.254373235
TDRKH,973.0,0.419795099,182.0,0.316344,0.08571463
TEP1,2777.0,0.379550228,40.0,-0.150135,-0.257934677
TFE3,1431.0,0.379068139,541.0,0.498185,-0.258136221
TFEB,621.0,0.429366592,302.0,-0.076953,-0.973649103
THADA,112.0,0.415199561,352.0,-0.660788,-0.224003788
THBD,2144.0,0.448063145,160.0,-0.908866,-0.260880091
THUMPD1,2715.0,0.455087735,225.0,-0.831441,-0.225959988
THYN1,205.0,0.377954149,484.0,-0.292193,-0.488660019
TIMM50,3932.0,0.424829064,722.0,1.272966,0.080954151
TIMM8B,2046.0,0.447942532,30.0,-0.073454,-0.631658728
TK2,3965.0,0.360054507,593.0,0.372719,0.033063477
TLE1,571.0,0.374791795,1295.0,0.014897,-0.093394044
TM9SF2,2020.0,0.372522209,233.0,0.48716,0.297311324
TMED3,1710.0,0.439016102,188.0,0.186844,-0.116104291
TMED9,708.0,0.44685712,67.0,0.57839,0.03830398
TMEM126A,52.0,0.406087664,295.0,0.126324,-0.392835791
TMEM199,2431.0,0.370998168,90.0,-0.64597,-0.797507931
TMEM63A,1407.0,0.385482014,622.0,0.433267,0.075305702
TMOD1,2050.0,0.392927141,213.0,1.351321,0.420272951
TMSB10,278.0,0.470652003,95.0,1.098992,-0.817322403
TNFAIP2,2079.0,0.44214387,131.0,0.472765,-0.285240295
TNFAIP3,1995.0,0.416242917,370.0,0.858534,0.236290711
TNFAIP8L2,497.0,0.440670719,126.0,0.008689,0.012519551
TNIP1,770.0,0.448321216,241.0,0.408136,0.196559487
TNK2,822.0,0.420245651,543.0,0.053215,-0.232089001
TNPO2,2070.0,0.408799881,358.0,0.891177,0.326223757
TNRC18,1316.0,0.449521205,349.0,-1.25669,0.032927678
TOMM5,518.0,0.441712708,107.0,0.229936,0.009768653
TOMM6,1957.0,0.431553434,255.0,0.563906,0.413739407
TOP2A,1003.0,0.364102812,159.0,1.460153,0.957824733
TOR1A,3160.0,0.446121485,77.0,-0.174727,0.074360463
TPD52L2,1600.0,0.385071878,138.0,0.802647,0.368621191
TPI1,620.0,0.479135356,527.0,0.983765,0.271515642
TPM1,757.0,0.403626605,257.0,2.003617,-0.101496747
TRAF1,7433.0,0.438949906,572.0,1.798796,0.684651271
TRAF3,5716.0,0.386659664,353.0,0.529903,0.099749773
TRAF6,6100.0,0.426668941,381.0,0.693279,0.684512227
TRAPPC3,634.0,0.441060625,519.0,-0.14101,-0.066014678
TRAPPC5,42.0,0.453352607,241.0,0.266513,0.053812439
TRAPPC6B,2539.0,0.437369008,335.0,0.231124,0.188331308
TRAPPC9,3079.0,0.431357199,134.0,0.653418,-0.202073069
TRIM11,3522.0,0.453298916,255.0,0.41534,0.197093666
TRIM13,5308.0,0.419190719,763.0,-0.57584,-0.223550014
TRIM14,3117.0,0.369225689,165.0,0.55783,0.041327337
TRIM22,1215.0,0.424423711,379.0,-0.308146,-0.058417168
TRIM26,1431.0,0.384319522,565.0,0.309326,0.15441611
TRIM27,2956.0,0.441704825,359.0,0.457539,0.172403839
TRIM41,1657.0,0.454716896,737.0,-0.78698,-0.133888437
TRIM5,2312.0,0.426412011,303.0,-0.975947,-0.058783085
TRIP12,3739.0,0.40441217,297.0,-0.534855,0.005833875
TRIP13,2852.0,0.433721983,145.0,2.421688,0.828693765
TRMT5,3660.0,0.405137655,572.0,-0.184148,0.186039794
TRUB2,4655.0,0.434714666,759.0,-0.11761,-0.075106728
TSFM,1390.0,0.429356434,57.0,0.215462,-0.108731735
TSPAN14,15147.0,0.398868986,305.0,-0.254476,0.766689018
TSPYL1,7303.0,0.373212405,287.0,0.419718,-0.162443752
TSR2,1366.0,0.464925113,443.0,0.576806,0.691090062
TTC39C,3394.0,0.378954091,452.0,-0.999899,-0.453021364
TTC7A,2213.0,0.393400181,1272.0,0.600072,0.442926938
TTPAL,5319.0,0.425556123,145.0,-0.155308,-0.15487262
TTYH3,3063.0,0.383645273,187.0,0.290167,-0.369860597
TUBA1C,110.0,0.451729991,576.0,1.344505,0.286623951
TUBA4A,644.0,0.402818439,556.0,1.020367,-0.024796449
TUBB,1030.0,0.390058461,509.0,1.549544,0.064163227
TUBB6,2302.0,0.468445054,1139.0,1.042895,0.434005709
TUBGCP4,1934.0,0.368175973,296.0,-0.483951,0.300553612
TUSC1,1294.0,0.429789613,537.0,-0.439425,-0.421705317
TXNL4A,3129.0,0.472736328,466.0,1.301161,0.458290809
TYMP,18.0,0.429537249,376.0,0.012819,0.139157007
TYMS,581.0,0.364557025,159.0,3.789094,1.787292797
TYROBP,168.0,0.417048036,81.0,0.194699,-0.052816372
UBAP2L,353.0,0.367068802,167.0,-0.176444,0.00939064
UBE2B,4002.0,0.405496028,420.0,-0.224283,0.238807006
UBE2E1,1034.0,0.417917446,229.0,-0.588285,-0.383370875
UBE2L3,2365.0,0.455573936,198.0,1.056951,0.229918848
UBE2L6,703.0,0.431638779,653.0,-0.92863,-0.577260486
UBE4B,1283.0,0.418913915,688.0,-0.207267,0.113873443
UBIAD1,2303.0,0.446280173,334.0,-0.404345,-0.388424496
UBR4,797.0,0.387393976,4.0,0.17585,0.282664539
UBTF,2209.0,0.400105612,296.0,-0.114017,-0.047716538
UBXN1,220.0,0.422601268,194.0,0.704664,3.17e-05
UCK2,4043.0,0.447469338,640.0,0.18886,0.34142058
UGGT1,5935.0,0.374564832,178.0,-0.461414,-0.246964947
UHRF1BP1,5130.0,0.373569339,234.0,0.723317,0.206963639
UNC45A,377.0,0.475530537,1022.0,1.192333,0.23376288
UNG,1024.0,0.368897526,209.0,0.866759,0.164572946
UNK,1388.0,0.447315534,42.0,0.05204,-0.226077002
UQCR11,4379.0,0.470309826,75.0,-0.683488,-0.53936595
UQCRC1,129.0,0.462829321,45.0,0.588881,-0.447658233
UQCRH,193.0,0.365128489,320.0,1.249946,-0.490669482
UROD,171.0,0.391539164,133.0,0.134736,0.133789271
UROS,3849.0,0.422413435,266.0,-0.669577,-0.506130762
USP18,580.0,0.434940763,338.0,1.192045,-0.250584995
USP39,571.0,0.39295741,223.0,0.940901,0.278784989
UTP6,2466.0,0.429918331,83.0,0.474977,0.013262377
VAC14,489.0,0.396517204,827.0,0.739067,0.362938321
VAMP8,451.0,0.398153421,156.0,-0.050817,-0.179887163
VASP,824.0,0.388921088,342.0,0.570592,0.285327842
VAT1,1456.0,0.406330787,120.0,0.280562,0.00555195
VDAC3,475.0,0.440388181,210.0,0.884461,0.193951869
VDR,3209.0,0.450036866,401.0,0.301164,-0.117042247
VGLL4,2489.0,0.432812067,506.0,-0.249445,0.028687126
VIM,431.0,0.411136971,462.0,0.58813,0.18826989
VPS28,291.0,0.476756313,109.0,-0.568714,-0.134750536
VPS33B,559.0,0.447669729,583.0,0.09502,0.112285328
VPS39,2053.0,0.440628838,173.0,-1.008344,-0.114434211
VPS52,2870.0,0.393546356,887.0,-0.43374,0.030466516
WASF2,4090.0,0.365213822,245.0,0.101978,0.214432724
WBP2,1040.0,0.392225719,515.0,0.272256,0.205957611
WDFY2,7044.0,0.36603015,340.0,-0.135956,0.063668372
WDR1,1039.0,0.393247178,368.0,0.211615,-0.095293038
WDR36,3619.0,0.40459335,117.0,-0.306397,0.053877113
WDR37,8068.0,0.365587877,173.0,0.077627,0.096613283
WDR4,293.0,0.380589271,581.0,1.433752,0.278014852
WDR47,1216.0,0.402106333,376.0,-0.062349,0.431472119
WDR48,1924.0,0.419028298,472.0,-0.868554,-0.006930419
WDR5,1979.0,0.401607191,171.0,1.065799,0.544840323
WDR54,97.0,0.394793766,128.0,-1.236077,-0.762977271
WDR61,197.0,0.411764619,310.0,0.30062,0.097195218
WDR77,4184.0,0.412330102,139.0,0.597879,0.183929273
WDR91,4946.0,0.380864599,823.0,1.70872,0.222419862
WDR92,2520.0,0.427217839,117.0,0.063791,0.124659376
YTHDF1,1279.0,0.384821843,294.0,0.634924,0.010568011
YTHDF3,3082.0,0.406652071,509.0,-0.489357,-0.028485282
YY1,5192.0,0.440120149,480.0,-0.356732,-0.369747885
ZBED1,2221.0,0.457533868,282.0,-0.413125,0.419402393
ZBTB8OS,1087.0,0.406816332,276.0,-0.459674,0.10447135
ZC3H12A,768.0,0.421626239,1056.0,1.220589,-0.08630271
ZC3H4,2169.0,0.436042942,38.0,0.66785,-0.093662195
ZCCHC10,81.0,0.361883573,67.0,-0.707839,0.089368323
ZCCHC2,2006.0,0.404185753,0.0,1.131427,0.113816866
ZFP36L1,2846.0,0.395541595,976.0,-0.203299,0.149190895
ZMAT2,1942.0,0.460376067,101.0,0.043261,-0.084351363
ZMIZ2,4165.0,0.419562196,128.0,0.761194,0.200258772
ZMYM3,1292.0,0.378831729,749.0,-0.067374,0.319772306
ZNF207,13817.0,0.386696564,148.0,-0.309441,0.037112465
ZNF414,113.0,0.422835658,118.0,-0.225903,-0.169868842
ZNF511,243.0,0.452392726,55.0,0.060187,-0.12808639
ZNF516,4816.0,0.393186692,318.0,-2.394432,-0.732710334
ZNF622,1298.0,0.463753859,120.0,-0.018264,-0.181782005
ZNHIT2,49.0,0.440612513,85.0,-0.934838,-0.477522828
ZNHIT3,419.0,0.425204303,73.0,-0.218573,0.182570127
ZWINT,4585.0,0.411772707,37.0,1.831607,0.633547141
